기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익
00100939,1,1,000860,강남제비스코,328350000000.0,243940000000.0,48620000000.0,114530000000.0,63029999999.0,14540000000.0,84410000000.0,2008-10-01,95875000000.0,0.14807370184254606,0.3930269738460277,1.8170712359482322,0.3141590612777053,12540000000.0,11710000000.0,18870000000.0,17520000000.0,17520000000.0
00101220,1,1,001390,KG케미칼,257140000000.0,92580000000.0,41780000000.0,147150000000.0,115850000000.0,-3890000000.0,164560000000.0,2008-10-01,84530000000.0,0.16247958310647895,0.913048174551739,1.270176952956409,-0.2059623802200402,11300000000.0,9640000000.0,6459999999.0,18790000000.0,-8660000000.0
00101257,1,1,000800,경남기업,1398320000000.0,445630000000.0,153890000000.0,1089479999999.0,703310000000.0,36340000000.0,952690000000.0,2008-10-01,225922568300.0,0.11005349276274387,0.5069734270583219,1.5490750877976995,0.6054729327322365,33110000000.0,25610000000.0,17140000000.0,13160000000.0,19180000000.0
00101488,1,1,009450,경동나비엔,180010000000.0,129200000000.0,42070000000.0,103230000000.0,37180000000.0,7670000000.0,50810000000.0,2008-10-01,66124800000.0,0.2337092383756458,0.5118018575851393,2.7764927380311994,0.7927434185056136,5990000000.0,4970000000.0,5420000000.0,9320000000.0,17010000000.0
00101628,1,1,000050,경방,570710000000.0,385430000000.0,21910000000.0,92240000000.0,140010000000.0,65610000000.0,185280000000.0,2008-10-01,234000000000.0,0.03839077640132466,0.6071141322678567,0.658810084993929,-0.3976068376068376,-21700000000.0,770000000.0,-9450000000.0,190000000.0,3529999999.0
00102113,1,1,012610,경인양행,145690000000.0,71120000000.0,20710000000.0,93320000000.0,66250000000.0,4360000000.0,74570000000.0,2008-10-01,74052000000.0,0.14215114283753175,1.0412260967379077,1.4086037735849057,0.2532004537352131,880000000.0,2530000000.0,4300000000.0,3010000000.0,4600000000.0
00102432,1,1,013580,계룡건설산업,796970000000.0,400200000000.0,153970000000.0,566410000000.0,294360000000.0,54490000000.0,396770000000.0,2008-10-01,167454506250.0,0.19319422312006726,0.41842705209895054,1.924208452235358,1.0130512686636046,54340000000.0,49680000000.0,36900000000.0,35430000000.0,31670000000.0
00102618,1,1,012200,계양전기,139830000000.0,118320000000.0,34600000000.0,99110000000.0,17980000000.0,8980000000.0,21500000000.0,2008-10-01,60962000000.0,0.24744332403632982,0.5152298850574712,5.512235817575084,1.2730881532758112,5340000000.0,2260000000.0,1030000000.0,1120000000.0,11190000000.0
00102760,1,1,011160,두산건설,1998359999999.0,569610000000.0,308720000000.0,1292750000000.0,1002929999999.0,73230000000.0,1428760000000.0,2008-10-01,570665382210.0,0.15448667907692032,1.0018528154526782,1.2889733082082389,-0.23833581682014396,15730000000.0,40060000000.0,29700000000.0,-4830000000.0,-134240000000.0
00102858,1,1,010130,고려아연,2882200000000.0,1656300000000.0,617740000000.0,1603350000000.0,822679999999.0,429539999999.0,1225900000000.0,2008-10-01,1709622000000.0,0.21432933176046076,1.0321934432168085,1.9489351874385532,0.2207797981074179,425239999999.0,70970000000.0,117520000000.0,42410000000.0,78850000000.0
