기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2017-당기순이익,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익
00100258,1,1,030270,에스마크,61660000000.0,26780000000.0,0.0,29070000000.0,26060000000.0,-34500000000.0,34880000000.0,2019-12-02,,,,0.0,,1.1155026861089792,,,-86910000000.0,-20070000000.0,-16419999999.0,-3720000000.0,490000000.0
00100601,1,1,114190,강원,93845576048.0,50203707277.0,5893131773.0,70560000000.0,43610000000.0,1710000000.0,43640000000.0,2019-12-02,62785176000.0,4000.0,4000.0,0.06279605306046382,1.2506083595297353,1.6179775280898876,0.42876363044677934,36.71647719298246,-6290000000.0,-760000000.0,890000000.0,1120000000.0,3920000000.0
00100939,1,1,000860,강남제비스코,657866049667.0,549542540453.0,37865903734.0,187920000000.0,60379999999.0,38840000000.0,108320000000.0,2019-12-02,130325000000.0,20050.0,20050.0,0.05755868349364896,0.2371517951869026,3.1122888374149102,0.610780740456551,3.35543254376931,16650000000.0,22370000000.0,26070000000.0,26900000000.0,23050000000.0
00101044,1,1,003060,에이프로젠제약,217062047762.0,150510885707.0,18780769178.0,87290000000.0,62040000000.0,-1220000000.0,66550000000.0,2019-12-02,268240744080.0,1110.0,1110.0,0.08652258361900453,1.7822016183080942,1.4069954867827208,0.07731860449139863,-219.86946236065575,-7559999999.0,-5230000000.0,890000000.0,-3850000000.0,-14900000000.0
00101220,1,1,001390,KG케미칼,1508599076377.0,604158561945.0,398717624890.0,664200000000.0,723150000000.0,27770000000.0,904440000000.0,2019-12-02,148350844800.0,11400.0,11400.0,0.26429661209096494,0.2455495198518849,0.9184816428126945,-1.6194043271130736,5.3421262081382785,5790000000.0,10880000000.0,7590000000.0,5470000000.0,-8630000000.0
00101336,1,1,008020,경남에너지,565980000000.0,301600000000.0,104870000000.0,147750000000.0,158470000000.0,24370000000.0,264380000000.0,2019-12-02,,,,0.1852892328350825,,0.9323531267747839,,,28680000000.0,28070000000.0,23000000000.0,23250000000.0,17350000000.0
00101433,1,1,002100,경농,357260541135.0,201453891125.0,72743157752.0,169980000000.0,128300000000.0,4880000000.0,155810000000.0,2019-12-02,244032187500.0,11250.0,11250.0,0.20361374788522235,1.2113550457488091,1.3248636009353079,0.058066110643703504,50.006595799180324,11540000000.0,5770000000.0,6490000000.0,9270000000.0,13750000000.0
00101488,1,1,009450,경동나비엔,583595818485.0,280103616186.0,238897236922.0,287000000000.0,275120000000.0,24750000000.0,303490000000.0,2019-12-02,559264489000.0,43900.0,43900.0,0.4093539215928092,1.996634304887467,1.0431811573131724,-0.029485154742231453,22.59654501010101,16290000000.0,28639999999.0,19320000000.0,9080000000.0,9250000000.0
00101549,1,1,011040,경동제약,257792240616.0,217780254563.0,105213223474.0,126150000000.0,39420000000.0,5320000000.0,40010000000.0,2019-12-02,204700500000.0,7710.0,7710.0,0.40813184765604577,0.9399405855721586,3.2001522070015223,0.4208099149733391,38.47753759398496,20160000000.0,16850000000.0,13719999999.0,24960000000.0,18740000000.0
00101628,1,1,000050,경방,1301792841122.0,708769346768.0,107395818185.0,120709999999.0,163150000000.0,20190000000.0,593020000000.0,2019-12-02,271137020300.0,9890.0,9890.0,0.08249839359420413,0.38254620002457684,0.7398712840882623,-1.7419605757945258,13.429272922238733,25680000000.0,30980000000.0,21600000000.0,14240000000.0,15100000000.0
00101752,1,1,025880,케이씨피드,105192755694.0,59351784567.0,8914598608.0,51190000000.0,33220000000.0,1010000000.0,45840000000.0,2019-12-02,38279314820.0,2290.0,2290.0,0.08474536624871852,0.644956425476776,1.540939193257074,0.13976216724769475,37.9003117029703,1000000000.0,1090000000.0,960000000.0,-3440000000.0,1870000000.0
