기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익,증자
00100717,1,1,023430,아이이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3510000000.0,2008-08-01,5233719000.0,1000.0,1000.0,,inf,,0.0,inf,inf,-1.4910880341880342,-1980000000.0,-5840000000.0,-9020000000.0,-7359999999.0,-75100000000.0,0
00100939,1,1,000860,강남제비스코,328350000000.0,243940000000.0,48620000000.0,114530000000.0,63029999999.0,14540000000.0,84410000000.0,293550000000.0,16390000000.0,2008-08-01,106600000000.0,16400.0,16400.0,0.14807370184254606,0.43699270312371896,1.8170712359482322,0.2825515947467167,7.331499312242091,0.36314086186339634,6.5039658328248935,12540000000.0,11710000000.0,18870000000.0,17520000000.0,17520000000.0,0
00101220,1,1,001390,KG케미칼,257140000000.0,92580000000.0,41780000000.0,147150000000.0,115850000000.0,-3890000000.0,164560000000.0,272840000000.0,-5940000000.0,2008-08-01,113955000000.0,10650.0,10650.0,0.16247958310647895,1.2308813998703825,1.270176952956409,-0.15277960598481857,-29.294344473007712,0.41766236622196157,-19.184343434343436,11300000000.0,9640000000.0,6459999999.0,18790000000.0,-8660000000.0,0
00101257,1,1,000800,경남기업,1398320000000.0,445630000000.0,153890000000.0,1089479999999.0,703310000000.0,36340000000.0,952690000000.0,0.0,0.0,2008-08-01,316765559050.0,20050.0,20050.0,0.11005349276274387,0.710826378497857,1.5490750877976995,0.4318335629960589,8.716718741056686,inf,inf,33110000000.0,25610000000.0,17140000000.0,13160000000.0,19180000000.0,1
00101488,1,1,009450,경동나비엔,180010000000.0,129200000000.0,42070000000.0,103230000000.0,37180000000.0,7670000000.0,50810000000.0,184550000000.0,-3470000000.0,2008-08-01,67968000000.0,29500.0,29500.0,0.2337092383756458,0.5260681114551083,2.7764927380311994,0.7712452919020716,8.861538461538462,0.3682904361961528,-19.587319884726224,5990000000.0,4970000000.0,5420000000.0,9320000000.0,17010000000.0,0
00101628,1,1,000050,경방,570710000000.0,385430000000.0,21910000000.0,92240000000.0,140010000000.0,65610000000.0,185280000000.0,186170000000.0,-47470000000.0,2008-08-01,277680000000.0,133500.0,133500.0,0.03839077640132466,0.7204421036245232,0.658810084993929,-0.33506194180351484,4.23228166438043,1.4915399903314175,-5.849589214240573,-21700000000.0,770000000.0,-9450000000.0,190000000.0,3529999999.0,0
00102113,1,1,012610,경인양행,145690000000.0,71120000000.0,20710000000.0,93320000000.0,66250000000.0,4360000000.0,74570000000.0,135080000000.0,-11720000000.0,2008-08-01,95931000000.0,25650.0,25650.0,0.14215114283753175,1.348861079865017,1.4086037735849057,0.19545298183069082,22.002522935779815,0.7101791530944626,-8.185238907849829,880000000.0,2530000000.0,4300000000.0,3010000000.0,4600000000.0,0
00102432,1,1,013580,계룡건설산업,796970000000.0,400200000000.0,153970000000.0,566410000000.0,294360000000.0,54490000000.0,396770000000.0,1216340000000.0,6000000000.0,2008-08-01,209429769150.0,23450.0,23450.0,0.19319422312006726,0.5233127664917542,1.924208452235358,0.8100090101254834,3.8434532785832265,0.17218028606310737,34.904961525,54340000000.0,49680000000.0,36900000000.0,35430000000.0,31670000000.0,0
00102618,1,1,012200,계양전기,139830000000.0,118320000000.0,34600000000.0,99110000000.0,17980000000.0,8980000000.0,21500000000.0,156700000000.0,14919999999.0,2008-08-01,69438000000.0,2130.0,2130.0,0.24744332403632982,0.5868661257606491,5.512235817575084,1.1176877214205478,7.7325167037861915,0.4431269942565412,4.654021448033111,5340000000.0,2260000000.0,1030000000.0,1120000000.0,11190000000.0,0
00102751,1,1,002140,고려산업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200000000.0,2008-08-01,18704568750.0,3750.0,3750.0,,inf,,0.0,inf,inf,-15.587140625,2860000000.0,1710000000.0,-300000000.0,-7830000000.0,-3000000000.0,0
00102760,1,1,011160,두산건설,1998359999999.0,569610000000.0,308720000000.0,1292750000000.0,1002929999999.0,73230000000.0,1428760000000.0,1908009999999.0,-108359999999.0,2008-08-01,620073640410.0,7530.0,7530.0,0.15448667907692032,1.0885933189550745,1.2889733082082389,-0.21934491508148707,8.467481092585006,0.3249844814284647,-5.722348102765987,15730000000.0,40060000000.0,29700000000.0,-4830000000.0,-134240000000.0,0
00102858,1,1,010130,고려아연,2882200000000.0,1656300000000.0,617740000000.0,1603350000000.0,822679999999.0,429539999999.0,1225900000000.0,3372150000000.0,452650000000.0,2008-08-01,2698410000000.0,143000.0,143000.0,0.21432933176046076,1.629179496468031,1.9489351874385532,0.139878669290434,6.28209247103013,0.8002046172323295,5.961360874848117,425239999999.0,70970000000.0,117520000000.0,42410000000.0,78850000000.0,0
00103006,1,1,002240,고려제강,994729999999.0,667930000000.0,131830000000.0,330230000000.0,200160000000.0,41810000000.0,326800000000.0,661580000000.0,52010000000.0,2008-08-01,415000000000.0,41500.0,41500.0,0.13252842479882232,0.621322593684967,1.649830135891287,0.008265060240963856,9.92585505859842,0.6272861936576075,7.979234762545664,15330000000.0,35030000000.0,39020000000.0,37800000000.0,27310000000.0,0
00103042,1,1,009070,케이씨티시,187090000000.0,114659999999.0,28610000000.0,78580000000.0,35220000000.0,14640000000.0,72430000000.0,200260000000.0,1810000000.0,2008-08-01,52650000000.0,17550.0,17550.0,0.15292105403816345,0.4591836734733925,2.2311186825667235,0.1168091168091168,3.596311475409836,0.26290821931489067,29.08839779005525,1250000000.0,2860000000.0,3790000000.0,2150000000.0,1220000000.0,0
00103510,1,1,023800,인지컨트롤스,260000000000.0,120409999999.0,51700000000.0,132909999999.0,120020000000.0,12790000000.0,139580000000.0,430670000000.0,17040000000.0,2008-08-01,61701720960.0,4070.0,4070.0,0.19884615384615384,0.5124302048045215,1.107398766863856,-0.10810071254453386,4.82421586864738,0.14326914101284047,3.6209930140845072,10780000000.0,16100000000.0,9550000000.0,7870000000.0,5360000000.0,0
00103644,1,1,042370,비츠로테크,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720000000.0,2008-08-01,44937724000.0,4000.0,4000.0,,inf,,0.0,inf,inf,9.520704237288136,-9230000000.0,-969999999.0,540000000.0,1240000000.0,2320000000.0,0
00103662,1,1,017040,광명전기,89090000000.0,57890000000.0,8630000000.0,46810000000.0,27580000000.0,810000000.0,31200000000.0,65950000000.0,10430000000.0,2008-08-01,49946949075.0,1335.0,1335.0,0.09686833539117747,0.8627906214372085,1.6972443799854968,0.3125316018113565,61.662900092592594,0.7573457024260803,4.788777476030681,4700000000.0,4179999999.0,220000000.0,2220000000.0,1060000000.0,0
00104388,1,1,007690,국도화학,306920000000.0,178710000000.0,45520000000.0,219860000000.0,0.0,13550000000.0,128209999999.0,412350000000.0,-5810000000.0,2008-08-01,141197968800.0,24300.0,24300.0,0.14831226378209306,0.7900955111633372,inf,0.6490886574354178,10.420514302583026,0.34242262349945435,-24.302576385542167,16910000000.0,10790000000.0,9240000000.0,6260000000.0,9180000000.0,0
00104573,1,1,078130,국일제지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710000000.0,2008-08-01,18000000000.0,9000.0,9000.0,,inf,,0.0,inf,inf,10.526315789473685,-6759999999.0,1820000000.0,3500000000.0,6890000000.0,3400000000.0,0
00104698,1,1,000680,LS네트웍스,491920000000.0,429330000000.0,79610000000.0,347670000000.0,33670000000.0,19340000000.0,62579999999.0,213360000000.0,44280000000.0,2008-08-01,640172298360.0,8120.0,8120.0,0.16183525776549032,1.491096122702816,10.325809325809326,0.4453332340861148,33.100946140641156,3.000432594488189,14.457368978319783,-5910000000.0,2010000000.0,26260000000.0,21500000000.0,23390000000.0,0
00104704,1,1,025610,한국저축은행,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937570000000.0,2008-08-01,179900000000.0,25700.0,25700.0,,inf,,0.0,inf,inf,-0.19187900636752456,40660000000.0,35040000000.0,23200000000.0,17920000000.0,17800000000.0,0
00104810,1,1,007720,대명소노시즌,125390000000.0,92020000000.0,19610000000.0,54690000000.0,13730000000.0,3400000000.0,33370000000.0,39240000000.0,2930000000.0,2008-08-01,60476579680.0,1310.0,1310.0,0.15639205678283755,0.6572112549445772,3.9832483612527314,0.3525331642895582,17.787229317647057,1.5411972395514781,20.640470880546076,2520000000.0,1810000000.0,-1630000000.0,26700000000.0,10200000000.0,0
00104856,1,1,016360,삼성증권,0.0,0.0,0.0,0.0,0.0,219600000000.0,0.0,0.0,-531110000000.0,2008-08-01,4190564845500.0,62700.0,62700.0,,inf,,0.0,19.08271787568306,inf,-7.890201362241344,220030000000.0,31389999999.0,96700000000.0,57540000000.0,57379999999.0,0
00104999,1,1,008600,윌비스,187420000000.0,127250000000.0,26850000000.0,119559999999.0,55090000000.0,5920000000.0,60170000000.0,158600000000.0,6580000000.0,2008-08-01,43225836600.0,3450.0,3450.0,0.14326112474655853,0.3396922326129666,2.1702668360682518,1.3739468028942672,7.301661587837838,0.27254625851197983,6.569276079027356,1950000000.0,-31610000000.0,-33120000000.0,10330000000.0,-10260000000.0,0
00105040,1,1,012340,뉴인텍,34630000000.0,8059999999.0,5370000000.0,19310000000.0,25490000000.0,130000000.0,26570000000.0,31270000000.0,-1420000000.0,2008-08-01,32736400000.0,1835.0,1835.0,0.15506786023678892,4.061588089833944,0.757551981169086,-0.22177148373064845,251.81846153846155,1.046894787336105,-23.05380281690141,-14050000000.0,-100000000.0,2310000000.0,-7100000000.0,-2020000000.0,0
00105271,1,1,002380,케이씨씨,7688850000000.0,4809610000000.0,677360000000.0,2642510000000.0,1097390000000.0,246590000000.0,2879240000000.0,3005190000000.0,383360000000.0,2008-08-01,4523600000000.0,430000.0,430000.0,0.08809639933149951,0.9405336399417,2.407995334384312,-0.05233221328145725,18.344620625329494,1.5052625624336564,11.799874791318866,196040000000.0,178060000000.0,130630000000.0,193910000000.0,154320000000.0,0
00105280,1,1,005440,현대그린푸드,843929999999.0,549940000000.0,121250000000.0,299070000000.0,173610000000.0,35520000000.0,293990000000.0,793170000000.0,36300000000.0,2008-08-01,373615502900.0,65900.0,65900.0,0.14367305345247078,0.6793750280030548,1.72265422498704,0.013596866191496573,10.518454473536035,0.4710408902252985,10.292438096418733,23460000000.0,37440000000.0,24080000000.0,24250000000.0,84710000000.0,0
00105299,1,1,014280,금강공업,387410000000.0,146200000000.0,50020000000.0,189540000000.0,170710000000.0,2450000000.0,241210000000.0,383500000000.0,22930000000.0,2008-08-01,61185146400.0,12600.0,12600.0,0.12911385870266642,0.4185030533515732,1.1103040243688127,-0.8444860074732125,24.973529142857142,0.15954405840938723,2.6683448059310946,5760000000.0,6470000000.0,17090000000.0,14910000000.0,19540000000.0,0
00105855,1,1,010120,엘에스일렉트릭,971920000000.0,454160000000.0,281180000000.0,495910000000.0,396140000000.0,110740000000.0,517760000000.0,1352880000000.0,149940000000.0,2008-08-01,1317000000000.0,43900.0,43900.0,0.2893036463906494,2.8998590805002644,1.25185540465492,-0.016590736522399393,11.89272169044609,0.973478800780557,8.783513405362145,99540000000.0,82290000000.0,84430000000.0,-55020000000.0,4110000000.0,0
00105873,1,1,034220,LG디스플레이,13779840000000.0,8289460000000.0,2236600000000.0,5746130000000.0,2401220000000.0,1344030000000.0,5490380000000.0,14351970000000.0,3306510000000.0,2008-08-01,10877597280000.0,30400.0,30400.0,0.16230957688913658,1.312220250776287,2.3930043894353705,0.02351162608954392,8.093269703801255,0.7579166678860114,3.2897518168703557,-769310000000.0,517010000000.0,1655450000000.0,1019100000000.0,288790000000.0,0
00105952,1,1,006260,LS,5437910000000.0,2297750000000.0,1044860000000.0,3160710000000.0,2274170000000.0,361470000000.0,3140160000000.0,9193840000000.0,444120000000.0,2008-08-01,2550240000000.0,79200.0,79200.0,0.19214367284489814,1.10988575780655,1.3898301358297753,0.008058065123282514,7.055191302182754,0.2773857278351592,5.742231829235342,215310000000.0,113270000000.0,117830000000.0,58329999999.0,73010000000.0,0
00106119,1,1,001570,금양,54529999999.0,21430000000.0,9230000000.0,33639999999.0,29450000000.0,30000000.0,33100000000.0,53860000000.0,-1590000000.0,2008-08-01,20857253240.0,530.0,530.0,0.1692646249801809,0.9732735996266916,1.1422750424108659,0.0258902738911176,695.2417746666666,0.38724941032305976,-13.117769333333333,520000000.0,6100000000.0,229999999.0,-5220000000.0,-33620000000.0,1
00106313,1,1,002990,금호산업,15442200000000.0,2219450000000.0,1165150000000.0,2397460000000.0,2867360000000.0,177820000000.0,13222750000000.0,8675230000000.0,1024790000000.0,2008-08-01,875205576000.0,18000.0,18000.0,0.07545233192161739,0.39433444141566604,0.8361210311924557,-12.368854011963013,4.921862422674614,0.1008855760596549,0.8540340713707198,194250000000.0,90000000000.0,139650000000.0,20610000000.0,-104909999999.0,1
00106368,1,1,011780,금호석유화학,7567050000000.0,1476540000000.0,1059770000000.0,2272100000000.0,2848340000000.0,129680000000.0,6090520000000.0,5867310000000.0,363920000000.0,2008-08-01,786886634650.0,30950.0,30950.0,0.1400506141759338,0.5329260532393297,0.7976926911815303,-4.852566852528126,6.067910507788402,0.13411369684744798,2.162251688970103,87710000000.0,121409999999.0,134470000000.0,21010000000.0,10980000000.0,0
00106395,1,1,001210,금호전기,299400000000.0,197520000000.0,50770000000.0,105200000000.0,81410000000.0,22110000000.0,101890000000.0,295270000000.0,34250000000.0,2008-08-01,178088313250.0,25750.0,25750.0,0.16957247828991315,0.9016216750202511,1.2922245424395038,0.01858628418448452,8.054650079149706,0.6031371736038202,5.199658781021898,28220000000.0,20840000000.0,13680000000.0,9220000000.0,2470000000.0,0
00106614,1,1,092440,기신정기,106880000000.0,95210000000.0,20930000000.0,64379999999.0,8059999999.0,10980000000.0,11670000000.0,66400000000.0,20680000000.0,2008-08-01,120158000000.0,8230.0,8230.0,0.19582709580838323,1.2620312992332738,7.987593052976128,0.4386724146457165,10.94335154826958,1.8096084337349398,5.810348162475822,14330000000.0,12670000000.0,11360000000.0,10420000000.0,10320000000.0,0
00106641,1,1,000270,기아자동차,19461000000000.0,4542200000000.0,3817960000000.0,8369700000000.0,10420750000000.0,-172390000000.0,14918800000000.0,20312000000000.0,-967490000000.0,2008-08-01,4305657642000.0,12400.0,12400.0,0.19618519089460973,0.9479233943903835,0.8031763548688914,-1.5210452257318605,-24.976261047624572,0.21197605563213864,-4.450338134761083,39340000000.0,680900000000.0,662030000000.0,752860000000.0,680410000000.0,0
00106881,1,1,014990,인디에프,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17420000000.0,2008-08-01,177762228000.0,2030.0,2030.0,,inf,,0.0,inf,inf,10.204490700344431,15480000000.0,11080000000.0,10810000000.0,20130000000.0,43150000000.0,0
00107613,1,1,007660,이수페타시스,223990000000.0,91660000000.0,16419999999.0,113100000000.0,112170000000.0,-700000000.0,132330000000.0,212000000000.0,1530000000.0,2008-08-01,48665494890.0,1530.0,1530.0,0.07330684405107371,0.5309349213397337,1.0082909868948917,-0.3951465004818325,-69.52213555714286,0.2295542211792453,31.807513,-4060000000.0,2380000000.0,6700000000.0,1050000000.0,4520000000.0,0
00107677,1,1,002070,남영비비안,136420000000.0,108320000000.0,80900000000.0,78740000000.0,19840000000.0,8890000000.0,28100000000.0,155420000000.0,14630000000.0,2008-08-01,65520195300.0,47700.0,47700.0,0.5930215510922152,0.6048762490768095,3.96875,0.7728914690826632,7.370100708661417,0.4215686224424141,4.478482248803828,4810000000.0,-11210000000.0,1100000000.0,12190000000.0,10600000000.0,0
00108001,1,1,091590,남화토건,146260000000.0,97620000000.0,25490000000.0,49190000000.0,43520000000.0,10790000000.0,48640000000.0,102759999999.0,16819999999.0,2008-08-01,,,,0.17427868179953507,,1.1302849264705883,,,,,6570000000.0,5360000000.0,6640000000.0,5220000000.0,4910000000.0,0
00108065,1,1,015540,쎌마테라퓨틱스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10030000000.0,2008-08-01,41077226575.0,515.0,515.0,,inf,,0.0,inf,inf,-4.095436348454636,-39960000000.0,-10850000000.0,-12710000000.0,-3760000000.0,114570000000.0,1
00108135,1,1,005250,녹십자홀딩스,2431620000000.0,351080000000.0,203600000000.0,722750000000.0,340020000000.0,41040000000.0,2080550000000.0,1132920000000.0,262769999999.0,2008-08-01,353622868000.0,82000.0,82000.0,0.08373018810504931,1.0072429873533097,2.125610258220105,-3.839683806874164,8.616541617933724,0.31213401475832364,1.3457505346932517,4970000000.0,2170000000.0,5380000000.0,5230000000.0,9360000000.0,0
00108241,1,1,004370,농심,1587150000000.0,1025100000000.0,476689999999.0,583110000000.0,492950000000.0,103390000000.0,562060000000.0,1561680000000.0,165160000000.0,2008-08-01,1399007660000.0,230000.0,230000.0,0.30034338279242667,1.364752375378012,1.182898874125165,0.01504637937436311,13.531363381371506,0.895835036627222,8.470620368127877,112859999999.0,118670000000.0,130640000000.0,101630000000.0,80060000000.0,0
00108490,1,1,048830,엔피케이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610000000.0,2008-08-01,9613247700.0,1050.0,1050.0,,inf,,0.0,inf,inf,2.6629495013850417,1650000000.0,1850000000.0,1739999999.0,1080000000.0,900000000.0,0
