기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,증자
00100601,1,1,114190,강원,85460000000.0,56579999999.0,7920000000.0,62929999999.0,18860000000.0,100000000.0,28870000000.0,46190000000.0,9500000000.0,2016-08-01,47436923300.0,3110.0,3110.0,0.09267493564240581,0.8384044415135808,3.3366914103393426,0.7180060937678899,474.369233,1120000000.0,3920000000.0,8970000000.0,919999999.0,1720000000.0,0
00100717,1,1,023430,아이이,64020000000.0,56029999999.0,1510000000.0,6170000000.0,5250000000.0,-12370000000.0,7990000000.0,12510000000.0,1030000000.0,2016-08-01,134243214908.0,964.0,964.0,0.02358637925648235,2.395916739432374,1.1752380952380952,-0.013557482225431567,-10.852321334518997,-1180000000.0,-3100000000.0,-21930000000.0,-2370000000.0,1510000000.0,0
00100939,1,1,000860,강남제비스코,522260144956.0,435044200151.0,56242410970.0,268680000000.0,57120000000.0,43490000000.0,94220000000.0,335320000000.0,36490000000.0,2016-08-01,242450000000.0,37300.0,37300.0,0.10769041350980052,0.5572996948720331,4.703781512605042,0.7195710455764075,5.574844791906186,26900000000.0,23050000000.0,21930000000.0,17040000000.0,21830000000.0,0
00101044,1,1,003060,에이프로젠제약,85221294726.0,67745286496.0,15082785226.0,49140000000.0,9890000000.0,1550000000.0,17480000000.0,40320000000.0,1850000000.0,2016-08-01,527291614440.0,6520.0,6520.0,0.17698376062571627,7.783443568005779,4.968655207280081,0.060042676828122706,340.1881383483871,-3850000000.0,-14900000000.0,-25260000000.0,-4670000000.0,-700000000.0,0
00101220,1,1,001390,KG케미칼,1142452650982.0,464019139958.0,203522282694.0,582530000000.0,486289999999.0,41850000000.0,678430000000.0,1014470000000.0,-52100000000.0,2016-08-01,159556293000.0,13900.0,13900.0,0.17814504830380634,0.34385713704491155,1.197906598945481,-0.6010417903103327,3.8125756989247312,5470000000.0,-8630000000.0,-12540000000.0,-6530000000.0,5070000000.0,0
00101336,1,1,008020,경남에너지,588590000000.0,323270000000.0,98000000000.0,204780000000.0,168990000000.0,22510000000.0,265319999999.0,724780000000.0,47770000000.0,2016-08-01,,,,0.16649960074075332,,1.2117876797443636,,,23250000000.0,17350000000.0,24210000000.0,26070000000.0,17160000000.0,0
00101433,1,1,002100,경농,316341852891.0,174667647960.0,69313073738.0,161180000000.0,114380000000.0,6980000000.0,141670000000.0,196420000000.0,-9850000000.0,2016-08-01,115400110000.0,5320.0,5320.0,0.21910813603877696,0.6606839408888552,1.4091624409861865,0.16906396363053727,16.532967048710603,9270000000.0,13750000000.0,6590000000.0,3150000000.0,9300000000.0,0
00101488,1,1,009450,경동나비엔,402084368451.0,206076608904.0,159979930946.0,158250000000.0,177130000000.0,16750000000.0,196010000000.0,512030000000.0,43720000000.0,2016-08-01,758000845000.0,59500.0,59500.0,0.3978765241790193,3.678247856616817,0.8934116185852199,-0.04981524789725004,45.25378179104477,9080000000.0,9250000000.0,9210000000.0,9450000000.0,7680000000.0,0
00101549,1,1,011040,경동제약,233410410013.0,204439578745.0,90642830990.0,85610000000.0,20500000000.0,13280000000.0,28970000000.0,151890000000.0,18260000000.0,2016-08-01,245587500000.0,18500.0,18500.0,0.388340995523514,1.201271796330222,4.1760975609756095,0.23063063063063063,18.493034638554217,24960000000.0,18740000000.0,7959999999.0,20240000000.0,19980000000.0,0
00101628,1,1,000050,경방,1318643312104.0,662952917600.0,101759493333.0,108090000000.0,185950000000.0,16690000000.0,655690000000.0,357630000000.0,39920000000.0,2016-08-01,470171880500.0,171500.0,171500.0,0.077169839939987,0.7092085546619216,0.5812852917450928,-1.1646804556190382,28.17087360695027,14240000000.0,15100000000.0,-7070000000.0,-1820000000.0,22220000000.0,0
00101752,1,1,025880,케이씨피드,99714046083.0,44140243190.0,9891470953.0,39600000000.0,36880000000.0,-2139999999.0,55570000000.0,83420000000.0,3529999999.0,2016-08-01,45346187450.0,3650.0,3650.0,0.09919837115792629,1.0273207434496692,1.0737527114967462,-0.35217955241791776,-21.189807229527947,-3440000000.0,1870000000.0,4320000000.0,1989999999.0,3030000000.0,0
00102113,1,1,012610,경인양행,326687437019.0,201125303678.0,43040652966.0,176660000000.0,109309999999.0,3670000000.0,125559999999.0,263160000000.0,5440000000.0,2016-08-01,273887354700.0,6780.0,6780.0,0.1317487239752558,1.3617747229781265,1.6161375903541866,0.18657305320638815,74.6287070027248,9090000000.0,12330000000.0,4480000000.0,2790000000.0,6320000000.0,0
00102140,1,1,009140,경인전자,64239944387.0,59623118439.0,7211046830.0,39260000000.0,3850000000.0,1340000000.0,4620000000.0,28339999999.0,2170000000.0,2016-08-01,33929215200.0,21600.0,21600.0,0.11225176015966902,0.5690613991402135,10.197402597402597,1.0209490492429663,25.32030985074627,290000000.0,890000000.0,570000000.0,1200000000.0,3260000000.0,0
00102353,1,1,024910,경창산업,579880000000.0,138930000000.0,73770000000.0,187500000000.0,279060000000.0,13540000000.0,440939999999.0,598970000000.0,79340000000.0,2016-08-01,109047600000.0,6210.0,6210.0,0.1272159757191143,0.7849103865255884,0.6718985164480756,-2.324122676693481,8.053737075332348,21150000000.0,23050000000.0,9410000000.0,4310000000.0,10990000000.0,0
00102432,1,1,013580,계룡건설산업,1224680000000.0,317920000000.0,108250000000.0,697330000000.0,788780000000.0,16900000000.0,906760000000.0,1522160000000.0,139560000000.0,2016-08-01,111189792150.0,12450.0,12450.0,0.08839043668550152,0.3497414196967791,0.8840614620046148,-1.883536212725981,6.579277642011834,-119630000000.0,-92180000000.0,2580000000.0,5510000000.0,14250000000.0,0
00102618,1,1,012200,계양전기,211580000000.0,160450000000.0,58010000000.0,100140000000.0,42910000000.0,9580000000.0,51140000000.0,293580000000.0,19210000000.0,2016-08-01,202446000000.0,6210.0,6210.0,0.2741752528594385,1.261738859457775,2.333721743183407,0.24203985260266936,21.1321503131524,6500000000.0,7820000000.0,8350000000.0,8359999999.0,5540000000.0,0
00102751,1,1,002140,고려산업,159959339339.0,79342018649.0,29576225991.0,83060000000.0,72610000000.0,5400000000.0,80620000000.0,185420000000.0,9550000000.0,2016-08-01,51624609750.0,2070.0,2070.0,0.18489840051364204,0.650659141638195,1.1439195703071203,0.047264279804071545,9.560112916666666,8209999999.0,3760000000.0,4690000000.0,4160000000.0,5660000000.0,0
00102760,1,1,011160,두산건설,4225710000000.0,1414310000000.0,70300000000.0,1688090000000.0,2368570000000.0,-520750000000.0,2811400000000.0,1185300000000.0,215010000000.0,2016-08-01,316024372000.0,5300.0,5300.0,0.01663625757565001,0.2234477391802363,0.7127042899302111,-3.5545043342416642,-0.606863892462794,-48940000000.0,-33680000000.0,-614850000000.0,-293450000000.0,5950000000.0,0
00102858,1,1,010130,고려아연,5907933006646.0,5219368828324.0,841958810464.0,2537910000000.0,390030000000.0,513989999999.0,688560000000.0,4771440000000.0,944860000000.0,2016-08-01,9925620000000.0,526000.0,526000.0,0.14251326301717654,1.9016897112418154,6.506961002999769,0.18632085451588917,19.310920445960644,462450000000.0,467670000000.0,596360000000.0,676790000000.0,490820000000.0,0
00103006,1,1,002240,고려제강,2425790000000.0,1456030000000.0,233019999999.0,899829999999.0,725050000000.0,18350000000.0,969760000000.0,1473200000000.0,200740000000.0,2016-08-01,660600000000.0,36700.0,36700.0,0.09605942806219829,0.45369944300598203,1.2410592372926006,-0.10585831062821677,36.0,10170000000.0,24060000000.0,90330000000.0,33420000000.0,78270000000.0,0
00103042,1,1,009070,케이씨티시,363554473900.0,172021197230.0,54771277997.0,99770000000.0,117690000000.0,9070000000.0,191530000000.0,357050000000.0,14040000000.0,2016-08-01,93600000000.0,3120.0,3120.0,0.15065494149871334,0.5441189894455427,0.8477355765145722,-0.9803418803418803,10.31973539140022,6420000000.0,-21840000000.0,4560000000.0,2170000000.0,1650000000.0,0
00103130,1,1,009810,엔케이물산,45800000000.0,39520000000.0,2010000000.0,21710000000.0,2430000000.0,2160000000.0,6280000000.0,27039999999.0,-8120000000.0,2016-08-01,44104769280.0,1230.0,1230.0,0.04388646288209607,1.1160113684210526,8.934156378600823,0.34984878623992655,20.418874666666667,-9480000000.0,-40000000.0,-5700000000.0,-490000000.0,2340000000.0,1
00103176,1,1,000540,흥국화재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547480000000.0,2016-08-01,215855287200.0,3360.0,3360.0,,inf,,0.0,inf,31570000000.0,11280000000.0,56520000000.0,-64900000000.0,-19470000000.0,0
00103510,1,1,023800,인지컨트롤스,472137335484.0,202648003140.0,67625388965.0,201000000000.0,218280000000.0,8710000000.0,269490000000.0,659500000000.0,41930000000.0,2016-08-01,92628382080.0,6110.0,6110.0,0.14323245353108008,0.45709003121046005,0.9208356239692138,-0.739406199936079,10.634716656716417,5540000000.0,13510000000.0,9770000000.0,6959999999.0,15430000000.0,0
00103592,1,1,009290,광동제약,663786480731.0,377727717970.0,232643658483.0,396630000000.0,223000000000.0,36080000000.0,286060000000.0,955450000000.0,41140000000.0,2016-08-01,495377041950.0,9450.0,9450.0,0.35047965759531496,1.3114659538682412,1.778609865470852,0.2232037228950957,13.729962360033259,34480000000.0,21440000000.0,26680000000.0,29030000000.0,25210000000.0,0
00103662,1,1,017040,광명전기,131457603343.0,87829336423.0,17657252964.0,83060000000.0,37680000000.0,8890000000.0,43630000000.0,93180000000.0,18500000000.0,2016-08-01,109427477875.0,2525.0,2525.0,0.13431899346231488,1.245910333968367,2.204352441613588,0.3603299716460727,12.30905262935883,6980000000.0,5300000000.0,-1560000000.0,-80000000.0,300000000.0,0
00104102,1,1,010050,우리종금,0.0,0.0,0.0,0.0,0.0,10430000000.0,0.0,0.0,61210000000.0,2016-08-01,380311131612.0,802.0,802.0,,inf,,0.0,36.463195744199425,5270000000.0,-36550000000.0,-70820000000.0,-14030000000.0,13630000000.0,0
