기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2004-당기순이익,2003-당기순이익,2002-당기순이익,2001-당기순이익,2000-당기순이익,2004-자본총계,2003-자본총계,2002-자본총계,2001-자본총계,2000-자본총계,증자
00100939,1,1,000860,강남제비스코,294970000000.0,217030000000.0,45520000000.0,103709999999.0,59979999999.0,12900000000.0,77940000000.0,263310000000.0,22660000000.0,15519999999.0,35000000000.0,25889999999.0,2006-11-01,96850000000.0,15000.0,15000.0,0.15432077838424246,0.05943878726443349,0.4462516702759987,1.7290763587984175,0.2660815694269489,7.507751937984496,0.3678174015419088,4.27405119152692,18870000000.0,17520000000.0,17520000000.0,1700000000.0,4780000000.0,196400000000.0,179800000000.0,164200000000.0,147200000000.0,144600000000.0,0
00101220,1,1,001390,KG케미칼,225980000000.0,86860000000.0,49160000000.0,117150000000.0,81880000000.0,9700000000.0,139120000000.0,259560000000.0,5280000000.0,16600000000.0,20000000000.0,28130000000.0,2006-11-01,73402000000.0,6800.0,6800.0,0.2175413753429507,0.11167395809348377,0.8450610177296799,1.430752320468979,-0.299310645486499,7.56721649484536,0.2827939590075512,13.90189393939394,6459999999.0,18790000000.0,-8660000000.0,-2890000000.0,16900000000.0,74700000000.0,71900000000.0,-6900000000.0,1700000000.0,4600000000.0,0
00101257,1,1,000800,경남기업,781420000000.0,315600000000.0,97740000000.0,637350000000.0,358480000000.0,26810000000.0,465810000000.0,0.0,0.0,22960000000.0,0.0,0.0,2006-11-01,239854217600.0,16400.0,16400.0,0.12507998259578715,0.08494930291508239,0.7599943523447402,1.7779234545860298,0.7151844220895618,8.946446012681836,inf,inf,17140000000.0,13160000000.0,19180000000.0,20040000000.0,7240000000.0,257300000000.0,179000000000.0,165300000000.0,151800000000.0,81200000000.0,0
00101488,1,1,009450,경동나비엔,163030000000.0,115800000000.0,35920000000.0,112150000000.0,39020000000.0,4980000000.0,47240000000.0,179320000000.0,15600000000.0,2230000000.0,10000000000.0,8570000000.0,2006-11-01,50918400000.0,21500.0,21500.0,0.22032754707722504,0.043005181347150256,0.4397098445595855,2.8741670937980524,1.2747847536450478,10.224578313253012,0.28395271023867946,3.264,5420000000.0,9320000000.0,17010000000.0,10890000000.0,6140000000.0,108300000000.0,105500000000.0,97200000000.0,81000000000.0,71100000000.0,0
00101628,1,1,000050,경방,521050000000.0,341120000000.0,38170000000.0,86420000000.0,138330000000.0,1170000000.0,179930000000.0,198690000000.0,14140000000.0,4420000000.0,0.0,31210000000.0,2006-11-01,264160000000.0,127000.0,127000.0,0.07325592553497745,0.003429878048780488,0.774390243902439,0.6247379454926625,-0.3539900060569352,225.77777777777777,1.3295082792289497,18.68175388967468,-9450000000.0,190000000.0,3529999999.0,-310000000.0,2350000000.0,382000000000.0,391900000000.0,391900000000.0,379700000000.0,407100000000.0,0
00102113,1,1,012610,경인양행,124090000000.0,68930000000.0,17340000000.0,79070000000.0,44010000000.0,2660000000.0,55160000000.0,121280000000.0,-6470000000.0,1580000000.0,4700000000.0,7730000000.0,2006-11-01,35400000000.0,11850.0,11850.0,0.13973728745265532,0.03858987378499928,0.5135644857101407,1.7966371279254716,0.6754237288135593,13.308270676691729,0.29188654353562005,-5.471406491499227,4300000000.0,3010000000.0,4600000000.0,5760000000.0,2480000000.0,61100000000.0,52000000000.0,51100000000.0,47500000000.0,45200000000.0,0
00102432,1,1,013580,계룡건설산업,611990000000.0,306450000000.0,133730000000.0,387320000000.0,192360000000.0,55350000000.0,305550000000.0,958590000000.0,52490000000.0,79880000000.0,80000000000.0,95110000000.0,2006-11-01,341607192750.0,38450.0,38450.0,0.21851664242879787,0.18061674008810572,1.114724074889868,2.0135163235599918,0.2393684961424162,6.171765,0.3563642357525115,6.508043298723567,36900000000.0,35430000000.0,31670000000.0,25550000000.0,15569999999.0,223100000000.0,192800000000.0,162900000000.0,131400000000.0,106200000000.0,0
00102618,1,1,012200,계양전기,123030000000.0,106480000000.0,18780000000.0,80690000000.0,13319999999.0,2260000000.0,16550000000.0,117950000000.0,1600000000.0,2050000000.0,2500000000.0,5400000000.0,2006-11-01,68460000000.0,2020.0,2020.0,0.15264569617166546,0.02122464312546957,0.6429376408715252,6.057807808262599,0.936897458369851,30.292035398230087,0.5804154302670623,42.7875,1030000000.0,1120000000.0,11190000000.0,10550000000.0,8760000000.0,106400000000.0,108700000000.0,110800000000.0,100100000000.0,91800000000.0,0
00102760,1,1,011160,두산건설,1790950000000.0,308400000000.0,238510000000.0,1181190000000.0,1020670000000.0,40060000000.0,1482540000000.0,1713770000000.0,171240000000.0,113680000000.0,0.0,67060000000.0,2006-11-01,967832766650.0,10650.0,10650.0,0.13317513051732321,0.12989623865110247,3.1382385429636837,1.157269244711807,-0.31136577555963035,24.159579796555168,0.5647390061968642,5.651908237853306,29700000000.0,-4830000000.0,-134240000000.0,51610000000.0,-330080000000.0,230100000000.0,-80700000000.0,-43800000000.0,265300000000.0,197000000000.0,0
00102858,1,1,010130,고려아연,1872230000000.0,794090000000.0,232400000000.0,922729999999.0,597830000000.0,75240000000.0,1078140000000.0,1910720000000.0,131620000000.0,171680000000.0,85000000000.0,247350000000.0,2006-11-01,1934175000000.0,106500.0,106500.0,0.12413004812442915,0.0947499653691647,2.4357125766600762,1.5434655336784704,-0.08034950301859967,25.706738437001594,1.0122754773069838,14.695145114724205,117520000000.0,42410000000.0,78850000000.0,35980000000.0,8940000000.0,811300000000.0,760700000000.0,621200000000.0,529700000000.0,533600000000.0,0
00103006,1,1,002240,고려제강,933379999999.0,617890000000.0,134470000000.0,353080000000.0,213660000000.0,37760000000.0,315490000000.0,693980000000.0,-21830000000.0,49040000000.0,17500000000.0,84960000000.0,2006-11-01,238500000000.0,23800.0,23800.0,0.14406779661032384,0.06111120102283578,0.38599103400281604,1.652532060282692,0.15761006289308177,6.3162076271186445,0.3436698463932678,-10.92533211177279,39020000000.0,37800000000.0,27310000000.0,40800000000.0,16190000000.0,544100000000.0,513600000000.0,467900000000.0,437100000000.0,412600000000.0,0
00103042,1,1,009070,케이씨티시,173800000000.0,98450000000.0,30250000000.0,44720000000.0,47590000000.0,2920000000.0,75350000000.0,192580000000.0,8120000000.0,4140000000.0,1200000000.0,11220000000.0,2006-11-01,37800000000.0,94500.0,94500.0,0.17405063291139242,0.029659725749111222,0.38395124428643984,0.9396932128598445,-0.8103174603174603,12.945205479452055,0.1962820645965313,4.655172413793103,3790000000.0,2150000000.0,1220000000.0,1510000000.0,810000000.0,95500000000.0,92000000000.0,89700000000.0,88800000000.0,87400000000.0,0
00103510,1,1,023800,인지컨트롤스,247840000000.0,100050000000.0,51190000000.0,137970000000.0,117890000000.0,24650000000.0,147800000000.0,359190000000.0,36540000000.0,28910000000.0,20000000000.0,45330000000.0,2006-11-01,112184947200.0,7500.0,7500.0,0.20654454486765655,0.2463768115942029,1.121288827586207,1.170328272118076,-0.08762316376077948,4.551113476673428,0.3123275904117598,3.0701955993431858,9550000000.0,7870000000.0,5360000000.0,5040000000.0,4720000000.0,48100000000.0,40900000000.0,35600000000.0,30500000000.0,27400000000.0,1
00103662,1,1,017040,광명전기,71840000000.0,46220000000.0,6409999999.0,35600000000.0,17730000000.0,4350000000.0,25620000000.0,55090000000.0,0.0,250000000.0,0.0,2430000000.0,2006-11-01,30304890450.0,810.0,810.0,0.08922605789253897,0.09411510168758114,0.6556661715707486,2.0078962210941906,0.3293197847544108,6.966641482758621,0.5500978480667997,inf,220000000.0,2220000000.0,1060000000.0,17520000000.0,-760000000.0,39000000000.0,38200000000.0,35900000000.0,34900000000.0,-6500000000.0,0
