기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2008-매출액(수익),매출액(수익)-YoY,증자
00100939,1,1,000860,강남제비스코,361670000000.0,276480000000.0,50700000000.0,146420000000.0,65950000000.0,27260000000.0,85180000000.0,305530000000.0,26760000000.0,19870000000.0,40000000000.0,39670000000.0,2010-08-02,91325000000.0,14050.0,14050.0,0.14018303978765173,0.09859664351851852,0.33031322337962965,2.220166793025019,0.6705721324938407,3.350146735143067,0.2989068176611135,3.412742899850523,223319999999.0,0.36812645531689103,0
00101044,1,1,003060,에이프로젠제약,59070000000.0,25180000000.0,30360000000.0,33550000000.0,31739999999.0,-8270000000.0,33889999999.0,62229999999.0,-4990000000.0,3990000000.0,0.0,-5620000000.0,2010-08-02,27148370830.0,1140.0,1140.0,0.5139664804469274,-0.3284352660841938,1.0781719948371724,1.0570258349419352,-0.012523771725715742,-3.2827534256348248,0.43625857031072246,-5.4405552765531064,17000000000.0,2.660588235235294,1
00101220,1,1,001390,KG케미칼,424850000000.0,194190000000.0,53520000000.0,175580000000.0,169770000000.0,8409999999.0,230660000000.0,373780000000.0,35150000000.0,17700000000.0,20000000000.0,28680000000.0,2010-08-02,112885000000.0,10650.0,10650.0,0.12597387313169353,0.04330810030897574,0.5813121169988156,1.0342227719856276,-0.4879301944456748,13.422711059860013,0.3020092032746535,3.2115220483641536,303230000000.0,0.23266167595554532,0
00101257,1,1,000800,경남기업,2367730000000.0,495310000000.0,115559999999.0,1489150000000.0,1046879999999.0,22310000000.0,1872420000000.0,0.0,0.0,64750000000.0,0.0,0.0,2010-08-02,124810369900.0,7950.0,7950.0,0.04880624057599473,0.0450424986372171,0.25198435303143485,1.4224648479304434,-3.0708185570404276,5.594368888390856,inf,inf,,,0
00101488,1,1,009450,경동나비엔,204060000000.0,141560000000.0,66260000000.0,122370000000.0,56550000000.0,3690000000.0,62510000000.0,253010000000.0,25789999999.0,6959999999.0,10000000000.0,14840000000.0,2010-08-02,76946640400.0,30400.0,30400.0,0.3247084190924238,0.02606668550437977,0.5435620259960441,2.163925729442971,0.7779416968541228,20.852748075880758,0.3041248978301253,2.983584350639146,204880000000.0,0.23491800078094505,0
00101628,1,1,000050,경방,1481470000000.0,714370000000.0,22000000000.0,146230000000.0,179030000000.0,-240000000.0,767100000000.0,197280000000.0,17130000000.0,-16290000000.0,0.0,27100000000.0,2010-08-02,223600000000.0,109000.0,109000.0,0.014850115088391935,-0.000335960356677912,0.3130030656382547,0.8167904820421158,-2.7766994633273705,-931.6666666666666,1.1334144363341443,13.05312317571512,154820000000.0,0.2742539723549928,0
00102113,1,1,012610,경인양행,277910000000.0,167810000000.0,53500000000.0,138780000000.0,83040000000.0,14619999999.0,110109999999.0,267969999999.0,24270000000.0,26170000000.0,5000000000.0,29510000000.0,2010-08-02,138750000000.0,3770.0,3770.0,0.19250836601777555,0.08712234073654729,0.8268279601930755,1.671242774566474,0.20663063063783785,9.490424077256527,0.5177818412528186,5.716934487021014,125459999999.0,1.135899888419703,0
00102432,1,1,013580,계룡건설산업,1340140000000.0,495770000000.0,131200000000.0,1027620000000.0,599430000000.0,33900000000.0,844370000000.0,1678270000000.0,-4980000000.0,47540000000.0,40000000000.0,72090000000.0,2010-08-02,126372334050.0,14100.0,14100.0,0.09790021938006477,0.06837848195735927,0.2549011316739617,1.7143286121815724,1.450080046218787,3.7277974646017698,0.07529916762499479,-25.375970692771084,1006790000000.0,0.6669513999940404,0
00102618,1,1,012200,계양전기,147760000000.0,126800000000.0,30989999999.0,100760000000.0,17580000000.0,4660000000.0,20950000000.0,166870000000.0,5920000000.0,2390000000.0,4000000000.0,8710000000.0,2010-08-02,83945000000.0,2590.0,2590.0,0.2097319978275582,0.03675078864353312,0.6620268138801262,5.731513083048919,0.9507415569718268,18.013948497854077,0.5030562713489543,14.17989864864865,156540000000.0,0.06598952344448694,0
00102760,1,1,011160,두산건설,3167740000000.0,872960000000.0,300280000000.0,2192559999999.0,1603510000000.0,51400000000.0,2294780000000.0,2456390000000.0,76030000000.0,126470000000.0,127400000000.0,147850000000.0,2010-08-02,289113077340.0,4270.0,4270.0,0.09479313327482684,0.05888013196480939,0.33118708456286655,1.3673503751139688,-0.3535640827508754,5.624768041634241,0.11769836114786333,3.8026184051032486,1939950000000.0,0.2662130467280084,0
