기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2015-당기순이익,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2015-자본총계,2014-자본총계,2013-자본총계,2012-자본총계,2011-자본총계,증자
00100717,1,1,023430,아이이,34490000000.0,9310000000.0,2250000000.0,6570000000.0,8109999999.0,-142120000000.0,25180000000.0,12120000000.0,4910000000.0,-3750000000.0,0.0,-129130000000.0,2017-08-01,,,,0.06523630037692085,-15.265306122448981,,0.8101109742059323,,,,,-12280000000.0,-1180000000.0,-3100000000.0,-21930000000.0,-2370000000.0,56700000000.0,42100000000.0,41000000000.0,24200000000.0,17400000000.0,1
00101220,1,1,001390,KG케미칼,1263528833800.0,510212080643.0,210223303894.0,649070000000.0,540589999999.0,28350000000.0,753320000000.0,808470000000.0,75890000000.0,72660000000.0,35000000000.0,95730000000.0,2017-08-01,186389184800.0,15600.0,15600.0,0.16637792369309365,0.05556512884656048,0.3653170747448808,1.200669638730277,-0.5593135680692134,6.5745744197530875,0.2305455796751889,2.456044074318092,7590000000.0,5470000000.0,-8630000000.0,-12540000000.0,-6530000000.0,163500000000.0,151600000000.0,158000000000.0,163100000000.0,175000000000.0,0
00101336,1,1,008020,경남에너지,574620000000.0,317030000000.0,108659999999.0,156230000000.0,156360000000.0,28580000000.0,257590000000.0,621330000000.0,52760000000.0,28180000000.0,0.0,68079999999.0,2017-08-01,,,,0.1890988827381574,0.09014919723685456,,0.9991685853159376,,,,,23000000000.0,23250000000.0,17350000000.0,24210000000.0,26070000000.0,323800000000.0,284800000000.0,291900000000.0,276900000000.0,255400000000.0,0
00101433,1,1,002100,경농,320915150778.0,183969131722.0,68613059895.0,156060000000.0,114390000000.0,6370000000.0,136950000000.0,203980000000.0,16000000000.0,9170000000.0,26500000000.0,14660000000.0,2017-08-01,134271932500.0,6150.0,6150.0,0.2138043645763069,0.034625374052565806,0.7298612068404031,1.3642800944138471,0.1423231173052492,21.078796310832022,0.6582602828708697,8.39199578125,6490000000.0,9270000000.0,13750000000.0,6590000000.0,3150000000.0,173100000000.0,169000000000.0,162700000000.0,151500000000.0,146000000000.0,0
00101549,1,1,011040,경동제약,238488083067.0,208571469647.0,94969255926.0,112480000000.0,27189999999.0,16950000000.0,29920000000.0,158600000000.0,25630000000.0,26280000000.0,35000000000.0,29460000000.0,2017-08-01,254880000000.0,19150.0,19150.0,0.3982138424053653,0.08126710728311637,1.2220271565970915,4.136815005668879,0.3239171374764595,15.03716814159292,1.607061790668348,9.944596176355834,13719999999.0,24960000000.0,18740000000.0,7959999999.0,20240000000.0,204800000000.0,190500000000.0,169300000000.0,153900000000.0,150500000000.0,0
00101628,1,1,000050,경방,1301910959501.0,679843399077.0,109092332989.0,106000000000.0,155440000000.0,29470000000.0,622070000000.0,377450000000.0,67979999999.0,43440000000.0,18000000000.0,70090000000.0,2017-08-01,448239664500.0,16200.0,16200.0,0.08379400464591928,0.04334821819261672,0.6593278174187756,0.6819351518270715,-1.1513260446856326,15.210032728198168,1.1875471307457939,6.593699095419147,21600000000.0,14240000000.0,15100000000.0,-7070000000.0,-1820000000.0,671800000000.0,651600000000.0,685600000000.0,669700000000.0,676600000000.0,0
00101752,1,1,025880,케이씨피드,106278381652.0,52101913632.0,11751469794.0,51670000000.0,38420000000.0,750000000.0,54179999999.0,80780000000.0,2350000000.0,1900000000.0,3500000000.0,3940000000.0,2017-08-01,38438656480.0,2425.0,2425.0,0.11057253235638496,0.014394864750982282,0.7377590149854248,1.3448724622592398,-0.06529884831708352,51.25154197333333,0.4758437296360485,16.35687509787234,960000000.0,-3440000000.0,1870000000.0,4320000000.0,1989999999.0,49600000000.0,48900000000.0,52900000000.0,50900000000.0,46400000000.0,1
00102113,1,1,012610,경인양행,344298515205.0,208293196152.0,46831688574.0,191410000000.0,119500000000.0,6840000000.0,136009999999.0,274869999999.0,19010000000.0,10580000000.0,5000000000.0,21940000000.0,2017-08-01,164009241900.0,4020.0,4020.0,0.13602059406534409,0.03283832658176974,0.7873960596404493,1.6017573221757322,0.33778584279280177,23.977959342105258,0.5966793098577389,8.627524560757498,110000000.0,9090000000.0,12330000000.0,4480000000.0,2790000000.0,185900000000.0,186400000000.0,178100000000.0,162100000000.0,158900000000.0,0
00102140,1,1,009140,경인전자,64297759365.0,59743629966.0,5804269230.0,46590000000.0,4270000000.0,2950000000.0,4550000000.0,26570000000.0,1330000000.0,680000000.0,25000000000.0,4580000000.0,2017-08-01,34007755050.0,21500.0,21500.0,0.09027171844435236,0.04937764915989939,0.5692281347710837,10.911007025761123,1.2361886263350983,11.528052559322035,1.279930562664659,25.56974063909775,1250000000.0,290000000.0,890000000.0,570000000.0,1200000000.0,54300000000.0,53300000000.0,53300000000.0,53200000000.0,53000000000.0,0
00102353,1,1,024910,경창산업,614040000000.0,146700000000.0,83130000000.0,199980000000.0,321560000000.0,9820000000.0,467339999999.0,645790000000.0,111259999999.0,29250000000.0,4300000000.0,72810000000.0,2017-08-01,86044000000.0,4860.0,4860.0,0.13538205980066445,0.06693933197000683,0.5865303340149965,0.6219057096653813,-3.10724745477895,8.762118126272911,0.13323835921894114,0.7733596980116246,5470000000.0,21150000000.0,23050000000.0,9410000000.0,4310000000.0,105200000000.0,104700000000.0,88100000000.0,77000000000.0,64000000000.0,0
00102432,1,1,013580,계룡건설산업,1513440000000.0,329410000000.0,153110000000.0,1006810000000.0,1072110000000.0,18620000000.0,1184030000000.0,1958509999999.0,125959999999.0,77640000000.0,0.0,56960000000.0,2017-08-01,160756326000.0,17950.0,17950.0,0.10116687810550798,0.05652530281412223,0.4880128897119092,0.9390920707763196,-1.1024138483981027,8.633529860365199,0.08208093193299094,1.2762490155706276,10280000000.0,-119630000000.0,-92180000000.0,2580000000.0,5510000000.0,249300000000.0,238500000000.0,362100000000.0,452600000000.0,453200000000.0,0
00102618,1,1,012200,계양전기,243980000000.0,179130000000.0,68960000000.0,120470000000.0,53790000000.0,17230000000.0,64850000000.0,328920000000.0,18730000000.0,14230000000.0,6500000000.0,28710000000.0,2017-08-01,157784000000.0,4770.0,4770.0,0.2826461185343061,0.09618712666778316,0.8808351476581254,2.239635620003718,0.3525072250671805,9.157515960533953,0.4797032713121732,8.424132407901762,9580000000.0,6500000000.0,7820000000.0,8350000000.0,8359999999.0,160400000000.0,152900000000.0,153600000000.0,147000000000.0,137200000000.0,0
00102751,1,1,002140,고려산업,167843755913.0,85020282528.0,35282670407.0,86130000000.0,73870000000.0,6850000000.0,82820000000.0,172280000000.0,15780000000.0,6680000000.0,3000000000.0,11140000000.0,2017-08-01,85043439250.0,3360.0,3360.0,0.210211396992858,0.08056901007996613,1.0002723670318594,1.1659672397454988,0.038921285747506966,12.415100620437956,0.4936350084165312,5.3893180766793405,4800000000.0,8209999999.0,3760000000.0,4690000000.0,4160000000.0,71800000000.0,68900000000.0,61700000000.0,58400000000.0,54600000000.0,0
