기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2007-당기순이익,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2007-자본총계,2006-자본총계,2005-자본총계,2004-자본총계,2003-자본총계,증자
00100939,1,1,000860,강남제비스코,334680000000.0,251990000000.0,42870000000.0,120820000000.0,63550000000.0,8290000000.0,82690000000.0,315790000000.0,14840000000.0,8610000000.0,30000000000.0,21960000000.0,2009-08-03,88075000000.0,13550.0,13550.0,0.1280925062746504,0.03289813087820945,0.3495178380094448,1.9011801730920528,0.43292648311098497,10.624246079613991,0.2789037018271636,5.934973045822103,12530000000.0,12540000000.0,11710000000.0,18870000000.0,17520000000.0,225400000000.0,214900000000.0,203500000000.0,196400000000.0,179800000000.0,0
00101044,1,1,003060,에이프로젠제약,31610000000.0,19530000000.0,6310000000.0,18490000000.0,10340000000.0,-5490000000.0,12080000000.0,21140000000.0,-3460000000.0,-4140000000.0,0.0,-6670000000.0,2009-08-03,15385534920.0,2560.0,2560.0,0.1996203732995888,-0.2811059907834101,0.7877898064516129,1.7882011605415862,0.4166250984011936,-2.8024653770491805,0.7277925695364238,-4.446686393063584,-10500000000.0,-2730000000.0,-5380000000.0,-4120000000.0,-4850000000.0,10100000000.0,9500000000.0,12300000000.0,2400000000.0,6600000000.0,1
00101220,1,1,001390,KG케미칼,429339999999.0,192430000000.0,75890000000.0,169480000000.0,158860000000.0,6440000000.0,236910000000.0,412570000000.0,10840000000.0,35150000000.0,20000000000.0,29770000000.0,2009-08-03,88489000000.0,8290.0,8290.0,0.17675967764516878,0.033466715169152415,0.4598503351868212,1.0668513156238195,-0.7620156177603996,13.740527950310561,0.2144823908670044,8.16319188191882,-3700000000.0,11300000000.0,9640000000.0,6459999999.0,18790000000.0,87400000000.0,94000000000.0,84900000000.0,74700000000.0,71900000000.0,0
00101257,1,1,000800,경남기업,2198850000000.0,533150000000.0,154710000000.0,1499950000000.0,1206920000000.0,12919999999.0,1665700000000.0,0.0,0.0,58320000000.0,0.0,0.0,2009-08-03,199854579650.0,12400.0,12400.0,0.07035950610546422,0.0242333302053831,0.3748561936603208,1.2427915686209523,-0.8293530240351438,15.468620717141533,inf,inf,36750000000.0,33110000000.0,25610000000.0,17140000000.0,13160000000.0,436200000000.0,360200000000.0,306600000000.0,257300000000.0,179000000000.0,0
00101488,1,1,009450,경동나비엔,197390000000.0,142360000000.0,52260000000.0,114570000000.0,46280000000.0,7690000000.0,55029999999.0,213969999999.0,1220000000.0,5440000000.0,10000000000.0,16840000000.0,2009-08-03,85248000000.0,37300.0,37300.0,0.2647550534474897,0.05401798257937624,0.5988198932284351,2.475583405358686,0.6984328078195383,11.08556566970091,0.3984109921970295,69.87540983606557,7650000000.0,5990000000.0,4970000000.0,5420000000.0,9320000000.0,127800000000.0,119000000000.0,114300000000.0,108300000000.0,105500000000.0,0
00101628,1,1,000050,경방,787720000000.0,407490000000.0,7820000000.0,127350000000.0,277230000000.0,-14840000000.0,380230000000.0,159560000000.0,-12620000000.0,-6600000000.0,0.0,-4990000000.0,2009-08-03,326560000000.0,160500.0,160500.0,0.00992738536535825,-0.03641807160911925,0.8013938992367908,0.4593658694946434,-0.77437530622244,-22.005390835579515,2.0466282276259715,-25.87638668779715,60490000000.0,-21700000000.0,770000000.0,-9450000000.0,190000000.0,421000000000.0,360700000000.0,382500000000.0,382000000000.0,391900000000.0,0
00102432,1,1,013580,계룡건설산업,1172600000000.0,430310000000.0,129500000000.0,938220000000.0,413560000000.0,40690000000.0,742300000000.0,1483720000000.0,-57560000000.0,55750000000.0,55000000000.0,75510000000.0,2009-08-03,205857406350.0,22600.0,22600.0,0.11043834214565924,0.094559736004276,0.4783932661337176,2.2686430022245867,0.9517267484993746,5.059164569918899,0.13874410694066264,-3.576396913655316,48890000000.0,54340000000.0,49680000000.0,36900000000.0,35430000000.0,349700000000.0,311900000000.0,265000000000.0,223100000000.0,192800000000.0,0
00102858,1,1,010130,고려아연,2679670000000.0,1854550000000.0,631580000000.0,1344250000000.0,379240000000.0,289670000000.0,825120000000.0,3086640000000.0,699820000000.0,545230000000.0,200000000000.0,512070000000.0,2009-08-03,2679540000000.0,139000.0,139000.0,0.23569320102848484,0.15619422501415434,1.4448464587096599,3.5445891783567136,0.1937384774998694,9.250319328891496,0.8681090117409221,3.8288988597067815,421710000000.0,425239999999.0,70970000000.0,117520000000.0,42410000000.0,1610000000000.0,1241600000000.0,749800000000.0,811300000000.0,760700000000.0,0
00103042,1,1,009070,케이씨티시,187360000000.0,118180000000.0,36010000000.0,64179999999.0,29810000000.0,4990000000.0,69170000000.0,246730000000.0,640000000.0,6800000000.0,2500000000.0,12980000000.0,2009-08-03,40950000000.0,13800.0,13800.0,0.1921968403074296,0.04222372651886952,0.34650533085124385,2.1529688023817517,-0.12185592188034187,8.206412825651302,0.1659708993636769,63.984375,14510000000.0,1250000000.0,2860000000.0,3790000000.0,2150000000.0,114100000000.0,99200000000.0,98100000000.0,95500000000.0,92000000000.0,0
00103510,1,1,023800,인지컨트롤스,315510000000.0,147850000000.0,48160000000.0,129259999999.0,141460000000.0,9260000000.0,167660000000.0,475900000000.0,70260000000.0,6559999999.0,10000000000.0,52310000000.0,2009-08-03,60943714560.0,4145.0,4145.0,0.15264175461950494,0.06263104497801826,0.4121996250253636,0.9137565389438712,-0.6300895880443032,6.581394660907128,0.1280599171254465,0.8674027122117848,9040000000.0,10780000000.0,16100000000.0,9550000000.0,7870000000.0,89100000000.0,82200000000.0,76700000000.0,48100000000.0,40900000000.0,0
