기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익,2012-당기순이익,2016-자본총계,2015-자본총계,2014-자본총계,2013-자본총계,2012-자본총계,증자
00100258,1,1,030270,에스마크,65810000000.0,28939999999.0,0.0,38200000000.0,28260000000.0,-86650000000.0,36870000000.0,17069999999.0,-21190000000.0,-10560000000.0,0.0,-63479999999.0,2018-08-01,45209066502.0,330.0,330.0,0.0,-2.9941257775740886,1.56216539404154,1.3517338995046002,0.02941887773641958,-0.5217434102942874,2.648451464830021,-2.133509509296838,-20070000000.0,-16419999999.0,-3720000000.0,490000000.0,-1100000000.0,48200000000.0,24900000000.0,22200000000.0,22300000000.0,21700000000.0,1
00100601,1,1,114190,강원,93179394172.0,48303009892.0,865111926.0,68070000000.0,33689999999.0,-6450000000.0,44880000000.0,82030000000.0,-3710000000.0,-5590000000.0,0.0,-6940000000.0,2018-08-01,68638635000.0,4415.0,4415.0,0.00928436950773782,-0.13353205140676455,1.4210011995829686,2.020480854913045,0.3378563690842628,-10.641648837209305,0.8367503961965135,-18.500979784366574,-760000000.0,890000000.0,1120000000.0,3920000000.0,8970000000.0,53700000000.0,54900000000.0,50400000000.0,45900000000.0,36100000000.0,0
00100717,1,1,023430,아이이,52690000000.0,29080000000.0,2540000000.0,8500000000.0,14180000000.0,-1970000000.0,23610000000.0,11830000000.0,-3130000000.0,-5010000000.0,0.0,760000000.0,2018-08-01,,,,0.048206490795217306,-0.06774415405777166,,0.5994358251057827,,,,,-141380000000.0,-12280000000.0,-1180000000.0,-3100000000.0,-21930000000.0,9300000000.0,56700000000.0,42100000000.0,41000000000.0,24200000000.0,1
00100939,1,1,000860,강남제비스코,584684282138.0,484924569149.0,48677142613.0,212090000000.0,60320000000.0,23190000000.0,99760000000.0,300030000000.0,25390000000.0,15090000000.0,55000000000.0,30300000000.0,2018-08-01,168675000000.0,25800.0,25800.0,0.08325372188047117,0.04782187060700268,0.3478376034771961,3.516080901856764,0.6659552393656439,7.273609314359637,0.5621937806219378,6.643363528948405,22370000000.0,26070000000.0,26900000000.0,23050000000.0,21930000000.0,327500000000.0,309800000000.0,288500000000.0,266000000000.0,243500000000.0,0
00101044,1,1,003060,에이프로젠제약,158272086883.0,77860647963.0,18831182807.0,66010000000.0,33970000000.0,-16890000000.0,80410000000.0,46100000000.0,-8930000000.0,-1460000000.0,0.0,-7750000000.0,2018-08-01,371114747360.0,3340.0,3340.0,0.11897980988221026,-0.216926013870656,4.766396852185929,1.9431851633794524,-0.03880201501674972,-21.97245395855536,8.050211439479392,-41.558202391937286,-5230000000.0,890000000.0,-3850000000.0,-14900000000.0,-25260000000.0,78300000000.0,69000000000.0,64400000000.0,58300000000.0,64700000000.0,0
00101220,1,1,001390,KG케미칼,1480673142139.0,577775684337.0,322084757683.0,692010000000.0,783640000000.0,10210000000.0,902900000000.0,1099479999999.0,189470000000.0,76250000000.0,35000000000.0,100190000000.0,2018-08-01,360150564300.0,28600.0,28600.0,0.21752589988747426,0.017671217873621695,0.6233397736584818,0.88307130825379,-0.5855606540833622,35.27429620959843,0.32756445255968963,1.9008316055312189,10880000000.0,7590000000.0,5470000000.0,-8630000000.0,-12540000000.0,171700000000.0,163500000000.0,151600000000.0,158000000000.0,163100000000.0,0
00101488,1,1,009450,경동나비엔,503697209795.0,256506497303.0,238581961165.0,230890000000.0,219840000000.0,27020000000.0,247190000000.0,684660000000.0,20110000000.0,47760000000.0,20000000000.0,54460000000.0,2018-08-01,774562208000.0,61500.0,61500.0,0.473661470672233,0.10533846231615117,3.0196592138757525,1.050263828238719,-0.021044145753106508,28.6662549222798,1.1313092746764817,38.51627090999503,28639999999.0,19320000000.0,9080000000.0,9250000000.0,9210000000.0,210200000000.0,185200000000.0,168000000000.0,161500000000.0,152200000000.0,0
00101549,1,1,011040,경동제약,251427545260.0,219348160749.0,103340730873.0,110130000000.0,29910000000.0,20230000000.0,32080000000.0,177770000000.0,14790000000.0,30910000000.0,40000000000.0,34940000000.0,2018-08-01,318600000000.0,12200.0,12200.0,0.4110159480184872,0.09222780775057048,1.452485395419266,3.6820461384152456,0.244978028876334,15.748887790410281,1.7922034088991394,21.541582150101426,16850000000.0,13719999999.0,24960000000.0,18740000000.0,7959999999.0,208700000000.0,204800000000.0,190500000000.0,169300000000.0,153900000000.0,0
00101628,1,1,000050,경방,1274042237155.0,699134073068.0,107346582141.0,90250000000.0,319480000000.0,25320000000.0,574910000000.0,360790000000.0,57720000000.0,42310000000.0,18000000000.0,71600000000.0,2018-08-01,352286219500.0,12700.0,12700.0,0.08425669024969712,0.0362162294406402,0.5038893583802424,0.2824902967321898,-1.3757563400801716,13.91335780015798,0.9764301103134788,6.103364856202358,30980000000.0,21600000000.0,14240000000.0,15100000000.0,-7070000000.0,690200000000.0,671800000000.0,651600000000.0,685600000000.0,669700000000.0,0
00101752,1,1,025880,케이씨피드,105511177616.0,58621330498.0,12434680964.0,54740000000.0,40030000000.0,6750000000.0,46890000000.0,79690000000.0,7620000000.0,2870000000.0,3500000000.0,5580000000.0,2018-08-01,39449424880.0,2300.0,2300.0,0.11785178826507925,0.11514580004679853,0.6729534206212857,1.3674743942043468,0.19898895925298468,5.844359241481483,0.4950360757937006,5.177089879265092,1090000000.0,960000000.0,-3440000000.0,1870000000.0,4320000000.0,57900000000.0,49600000000.0,48900000000.0,52900000000.0,50900000000.0,0
