기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익,2001-당기순이익,2005-자본총계,2004-자본총계,2003-자본총계,2002-자본총계,2001-자본총계,증자
00100939,1,1,000860,강남제비스코,311750000000.0,229940000000.0,48230000000.0,113870000000.0,60370000000.0,14260000000.0,81820000000.0,277350000000.0,11370000000.0,17450000000.0,35000000000.0,26880000000.0,2007-08-01,158925000000.0,25050.0,25050.0,0.15470729751403367,0.06201617813342612,0.6911585631034183,1.8862017558389927,0.2016674532011956,11.144810659186538,0.5730124391563007,13.977572559366756,11710000000.0,18870000000.0,17520000000.0,17520000000.0,1700000000.0,203500000000.0,196400000000.0,179800000000.0,164200000000.0,147200000000.0,0
00101488,1,1,009450,경동나비엔,174190000000.0,120490000000.0,38290000000.0,110580000000.0,45660000000.0,6010000000.0,53700000000.0,189350000000.0,17060000000.0,1939999999.0,10000000000.0,13130000000.0,2007-08-01,61401600000.0,26400.0,26400.0,0.2198174407256444,0.04987965806290978,0.5095991368578305,2.4218134034165573,0.9263602251407128,10.21657237936772,0.3242756799577502,3.59915592028136,4970000000.0,5420000000.0,9320000000.0,17010000000.0,10890000000.0,114300000000.0,108300000000.0,105500000000.0,97200000000.0,81000000000.0,0
00102432,1,1,013580,계룡건설산업,706630000000.0,356490000000.0,160830000000.0,503260000000.0,219590000000.0,58179999999.0,350140000000.0,1108760000000.0,61750000000.0,85140000000.0,85000000000.0,99930000000.0,2007-08-01,535854420000.0,59500.0,59500.0,0.2276014321497813,0.16320233386350247,1.5031401161322901,2.291816567238945,0.2857492525675164,9.210285665335345,0.4832916230744255,8.677804372469636,49680000000.0,36900000000.0,35430000000.0,31670000000.0,25550000000.0,265000000000.0,223100000000.0,192800000000.0,162900000000.0,131400000000.0,0
00104388,1,1,007690,국도화학,263519999999.0,161310000000.0,44770000000.0,185640000000.0,0.0,17190000000.0,102210000000.0,347150000000.0,4029999999.0,24330000000.0,80000000000.0,28930000000.0,2007-08-01,202790498400.0,35500.0,35500.0,0.16989222829451234,0.10656499907011344,1.257147718058397,inf,0.4114098079459131,11.79700397905759,0.5841581402851793,50.320222940526115,10790000000.0,9240000000.0,6260000000.0,9180000000.0,5950000000.0,137700000000.0,125500000000.0,120800000000.0,123300000000.0,117400000000.0,0
00104810,1,1,007720,대명소노시즌,85950000000.0,68820000000.0,5240000000.0,61240000000.0,2130000000.0,3140000000.0,17130000000.0,16080000000.0,3300000000.0,-5000000000.0,2500000000.0,2680000000.0,2007-08-01,96747674325.0,2190.0,2190.0,0.06096567771960443,0.04562627143272305,1.4058075316041851,28.75117370892019,0.4559282722582386,30.81136125,6.016646413246268,29.31747706818182,1810000000.0,-1630000000.0,26700000000.0,10200000000.0,-67490000000.0,38200000000.0,15500000000.0,55100000000.0,27200000000.0,-19500000000.0,0
00104999,1,1,008600,윌비스,189700000000.0,108940000000.0,25360000000.0,107330000000.0,54700000000.0,7309999999.0,80760000000.0,139030000000.0,10060000000.0,6280000000.0,0.0,14169999999.0,2007-08-01,63899062800.0,5360.0,5360.0,0.13368476541908275,0.06710115659078393,0.5865528070497522,1.9621572212065808,0.4158120453685277,8.74132186166092,0.4596062921671582,6.351795506958251,-31610000000.0,-33120000000.0,10330000000.0,-10260000000.0,68010000000.0,108900000000.0,115300000000.0,164200000000.0,163800000000.0,193100000000.0,0
00105271,1,1,002380,케이씨씨,4393990000000.0,2828560000000.0,647250000000.0,1505170000000.0,976300000000.0,250030000000.0,1565430000000.0,2816250000000.0,442150000000.0,282180000000.0,600000000000.0,518780000000.0,2007-08-01,4313200000000.0,422500.0,422500.0,0.14730347588410533,0.08839480159515796,1.5248748479791838,1.541708491242446,-0.013971065566168969,17.25072991241051,1.5315401686640036,9.755060499830376,178060000000.0,130630000000.0,193910000000.0,154320000000.0,89550000000.0,2163300000000.0,1778500000000.0,1735900000000.0,1220100000000.0,1095000000000.0,0
00105855,1,1,010120,엘에스일렉트릭,959690000000.0,368290000000.0,271469999999.0,435380000000.0,346090000000.0,99310000000.0,591400000000.0,1246560000000.0,87590000000.0,155130000000.0,75000000000.0,199750000000.0,2007-08-01,1587000000000.0,52000.0,52000.0,0.2828725942741927,0.2696516332238182,4.3091042385076985,1.2579964749053714,-0.09831127914303718,15.980263820360491,1.2731035810550635,18.118506678844614,82290000000.0,84430000000.0,-55020000000.0,4110000000.0,-16330000000.0,283200000000.0,216900000000.0,133500000000.0,159500000000.0,118200000000.0,0
00105873,1,1,034220,LG디스플레이,13487790000000.0,6889680000000.0,-308120000000.0,3154630000000.0,3208790000000.0,-769310000000.0,6598110000000.0,10624200000000.0,1865500000000.0,-879040000000.0,0.0,1767259999999.0,2007-08-01,14795679195000.0,42300.0,42300.0,-0.022844365162862115,-0.11166120922887564,2.1475132654927367,0.9831213635046232,-0.2327355138359365,-19.232402016092344,1.3926393700231547,7.9312137201822575,517010000000.0,1655450000000.0,1019100000000.0,288790000000.0,-381600000000.0,7675600000000.0,5772600000000.0,2894000000000.0,1866100000000.0,1578800000000.0,0
00107677,1,1,002070,남영비비안,123909999999.0,95400000000.0,66090000000.0,70530000000.0,23400000000.0,4810000000.0,28510000000.0,159710000000.0,18360000000.0,1950000000.0,7500000000.0,12030000000.0,2007-08-01,72937575900.0,52000.0,52000.0,0.5333709950813765,0.050419287211740035,0.764544820754717,3.014102564102564,0.5761090834388424,15.163737193347194,0.4566875956421013,3.972634852941177,-11210000000.0,1100000000.0,12190000000.0,10600000000.0,4810000000.0,91600000000.0,104900000000.0,110100000000.0,99600000000.0,85400000000.0,0
