기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2000-당기순이익,1999-당기순이익,1998-당기순이익,1997-당기순이익,1996-당기순이익,2000-자본총계,1999-자본총계,1998-자본총계,1997-자본총계,1996-자본총계,증자
00100939,1,1,000860,강남제비스코,247960000000.0,156820000000.0,31130000000.0,83330000000.0,62570000000.0,2420000000.0,91140000000.0,206519999999.0,20920000000.0,8830000000.0,11300000000.0,21380000000.0,2002-08-01,23356423200.0,23400.0,23400.0,0.12554444265204065,0.015431705139650555,0.14893778344598904,1.3317883969953652,-0.3343833913747547,9.651414545454543,0.11309521208654412,1.1164638240917781,4780000000.0,8910000000.0,19240000000.0,,,144600000000.0,138800000000.0,79200000000.0,,,0
00102432,1,1,013580,계룡건설산업,355390000000.0,145710000000.0,56220000000.0,215010000000.0,167050000000.0,26120000000.0,209690000000.0,458950000000.0,0.0,37600000000.0,55000000000.0,36840000000.0,2002-08-01,71447256000.0,8370.0,8370.0,0.15819240834013334,0.17926017431885252,0.4903387276096356,1.2870996707572584,0.07446052231872978,2.7353467075038287,0.15567546791589498,inf,15569999999.0,12890000000.0,5180000000.0,,,106200000000.0,97800000000.0,72600000000.0,,,0
00104388,1,1,007690,국도화학,174570000000.0,117330000000.0,21530000000.0,111340000000.0,0.0,5950000000.0,57240000000.0,184360000000.0,4430000000.0,9490000000.0,60000000000.0,15650000000.0,2002-08-01,78152785200.0,13300.0,13300.0,0.12333161482499855,0.05071166794511208,0.6660937969828689,inf,0.6922338066590108,13.13492188235294,0.4239140008678672,17.64171223476298,7390000000.0,8740000000.0,6060000000.0,,,114000000000.0,101700000000.0,100500000000.0,,,0
00104999,1,1,008600,윌비스,378850000000.0,193410000000.0,37770000000.0,131380000000.0,140200000000.0,63810000000.0,185450000000.0,166090000000.0,6809999999.0,8050000000.0,15000000000.0,73830000000.0,2002-08-01,50868665680.0,4100.0,4100.0,0.09969644978223573,0.3299208934388088,0.2630094911328266,0.9370898716119828,-1.0629333259916558,0.7971895577495691,0.3062716941417304,7.469701275693054,6470000000.0,11680000000.0,7690000000.0,,,140600000000.0,171500000000.0,112800000000.0,,,0
00105271,1,1,002380,케이씨씨,2109009999999.0,1152580000000.0,418760000000.0,795300000000.0,512950000000.0,88010000000.0,956429999999.0,1912459999999.0,320420000000.0,154880000000.0,300000000000.0,397610000000.0,2002-08-01,1333179628500.0,120500.0,120500.0,0.19855761708109426,0.07635912474622153,1.1566916209720801,1.5504435130129641,-0.12086143273903167,15.148047136689012,0.6971019673617733,4.160725386992073,67740000000.0,75440000000.0,13030000000.0,,,1041000000000.0,347400000000.0,267300000000.0,,,0
00105855,1,1,010120,엘에스일렉트릭,1242970000000.0,118909999999.0,229950000000.0,442870000000.0,647390000000.0,-16300000000.0,1124060000000.0,817890000000.0,0.0,75090000000.0,0.0,98760000000.0,2002-08-01,302675743310.0,2350.0,2350.0,0.18500044248855568,-0.1370784627040373,2.5454187478979518,0.6840853272370596,-2.2505602614555285,-18.569064006748466,0.3700690108816589,inf,81780000000.0,-174380000000.0,-68429999999.0,,,34100000000.0,599100000000.0,469600000000.0,,,0
00109693,1,1,000210,대림산업,4013050000000.0,1771050000000.0,457410000000.0,1930690000000.0,1288320000000.0,16850000000.0,2241990000000.0,3680950000000.0,557210000000.0,169130000000.0,50000000000.0,183790000000.0,2002-08-01,594475000000.0,15500.0,15500.0,0.11398063816797695,0.009514130035854437,0.3356624601225262,1.4986105936413314,-0.5236553261280962,35.28041543026706,0.16150042787867264,1.0668778377990344,39570000000.0,187270000000.0,76390000000.0,,,1536800000000.0,1498800000000.0,900600000000.0,,,0
00110583,1,1,025440,대성엘텍,90820000000.0,25050000000.0,15790000000.0,41260000000.0,58490000000.0,3329999999.0,65770000000.0,195090000000.0,6980000000.0,4460000000.0,21200000000.0,13750000000.0,2002-08-01,28466875200.0,1700.0,1700.0,0.173860383175512,0.13293413169660678,1.1364022035928143,0.7054197298683536,-0.8610007184771724,8.548611173738319,0.14591662924803936,4.078348882521491,4690000000.0,3340000000.0,1100000000.0,,,19400000000.0,13700000000.0,10700000000.0,,,0
00111704,1,1,042660,대우조선해양,3345750000000.0,791360000000.0,522270000000.0,1303020000000.0,1986070000000.0,161440000000.0,2554390000000.0,3126730000000.0,827910000000.0,307720000000.0,0.0,413450000000.0,2002-08-01,1418493919700.0,7310.0,7310.0,0.1560995292535306,0.20400323493732309,1.792476141958148,0.6560795943748207,-0.8821821388312011,8.786508422324081,0.4536669043057763,1.7133431408003286,56110000000.0,,,,,622600000000.0,,,,,0
00112970,1,1,001070,대한방직,294400000000.0,44550000000.0,34100000000.0,98120000000.0,196020000000.0,7170000000.0,249850000000.0,268730000000.0,11780000000.0,21100000000.0,0.0,34490000000.0,2002-08-01,11342000000.0,10700.0,10700.0,0.11582880434782608,0.16094276094276094,0.25459034792368124,0.5005611672278341,-13.377711162052547,1.5818688981868898,0.0422059316042124,0.962818336162988,1530000000.0,-36410000000.0,-56100000000.0,,,36700000000.0,122600000000.0,159100000000.0,,,0
00113410,1,1,000120,CJ대한통운,1257450000000.0,697610000000.0,129800000000.0,330010000000.0,150510000000.0,48260000000.0,559840000000.0,987410000000.0,103509999999.0,54940000000.0,0.0,110680000000.0,2002-08-01,103745108950.0,10300.0,10300.0,0.10322478030935624,0.06917905419933773,0.14871505418500308,2.192611786592253,-2.215333352348848,2.1497121622461672,0.10506791398709757,1.0022713646121366,18850000000.0,14069999999.0,-89420000000.0,,,575100000000.0,505700000000.0,543000000000.0,,,1
00116824,1,1,000640,동아쏘시오홀딩스,593630000000.0,190870000000.0,235769999999.0,284180000000.0,248960000000.0,120000000.0,402760000000.0,559330000000.0,58750000000.0,37630000000.0,49900000000.0,51070000000.0,2002-08-01,168535000000.0,18700.0,18700.0,0.3971665852450179,0.0006287001624142085,0.8829831822706554,1.1414685089974292,-0.7035927255466223,1404.458333333333,0.3013158600468417,2.8686808510638304,20900000000.0,14110000000.0,14710000000.0,,,193800000000.0,182300000000.0,160300000000.0,,,0
00117212,1,1,000150,두산,7243789999999.0,2153750000000.0,1108750000000.0,2672170000000.0,3112940000000.0,5100000000.0,5090040000000.0,5527600000000.0,462110000000.0,127359999999.0,0.0,650150000000.0,2002-08-01,313522303050.0,15050.0,15050.0,0.15306214012280214,0.0023679628554846197,0.1455704250957632,0.8584071649309013,-7.711955342502067,61.47496138235294,0.056719426704175416,0.6784581659128779,11830000000.0,127320000000.0,-19630000000.0,,,1022100000000.0,996200000000.0,619000000000.0,,,0
00117498,1,1,026890,디피씨,99220000000.0,59890000000.0,13519999999.0,55710000000.0,24480000000.0,6040000000.0,39340000000.0,147410000000.0,12880000000.0,5390000000.0,10000000000.0,11560000000.0,2002-08-01,33440000000.0,2110.0,2110.0,0.1362628502217295,0.10085156119552513,0.5583569878109869,2.275735294117647,0.4895334928229665,5.5364238410596025,0.22685028152771186,2.5962732919254656,8080000000.0,9750000000.0,13960000000.0,,,55600000000.0,48500000000.0,40000000000.0,,,0
00118965,1,1,019180,티에이치엔,79520000000.0,22020000000.0,4160000000.0,31630000000.0,47010000000.0,-3910000000.0,57500000000.0,130520000000.0,-2500000000.0,-440000000.0,2500000000.0,1200000000.0,2002-08-01,14760000000.0,7910.0,7910.0,0.0523138832997988,-0.17756584922797458,0.6702997275204361,0.6728355669006595,-1.752710027100271,-3.7749360613810734,0.11308611707018082,-5.904,960000000.0,3120000000.0,-3850000000.0,,,18400000000.0,34700000000.0,13900000000.0,,,0
00120021,1,1,003550,LG,4045890000000.0,1958000000000.0,516980000000.0,757850000000.0,680680000000.0,133200000000.0,2087890000000.0,1730080000000.0,-63079999999.0,175990000000.0,25000000000.0,410530000000.0,2002-08-01,1293609107700.0,13750.0,13750.0,0.12777905479387724,0.06802860061287028,0.6606788088355465,1.1133719221954517,-1.0281622107351829,9.711780087837838,0.747716352827615,-20.507436710851426,324820000000.0,367730000000.0,53600000000.0,,,2377900000000.0,2149400000000.0,1478000000000.0,,,1
00120377,1,1,000420,로케트전기,128950000000.0,38800000000.0,7430000000.0,32770000000.0,77660000000.0,31600000000.0,90150000000.0,67229999999.0,-9410000000.0,-4660000000.0,0.0,46110000000.0,2002-08-01,11904391400.0,2470.0,2470.0,0.05761923226056611,0.8144329896907216,0.3068142113402062,0.42196755086273496,-4.820070012146946,0.3767212468354431,0.17706963260712585,-1.2650787885228478,-44200000000.0,1350000000.0,-30450000000.0,,,1100000000.0,42800000000.0,42000000000.0,,,0
00134316,1,1,021820,세원정공,87300000000.0,44510000000.0,10320000000.0,30139999999.0,12410000000.0,6140000000.0,42790000000.0,87110000000.0,10020000000.0,5800000000.0,5000000000.0,16069999999.0,2002-08-01,8700000000.0,8540.0,8540.0,0.11821305841924395,0.13794652886991687,0.19546169400134802,2.428686543029815,-1.4540229886206897,1.4169381107491856,0.09987372287911836,0.8682634730538922,2890000000.0,980000000.0,869999999.0,,,23700000000.0,15300000000.0,14500000000.0,,,0
00138729,1,1,002310,아세아제지,311490000000.0,135050000000.0,36470000000.0,90160000000.0,113400000000.0,6950000000.0,176440000000.0,165310000000.0,0.0,21600000000.0,40000000000.0,17880000000.0,2002-08-01,40479122000.0,6700.0,6700.0,0.11708241035025202,0.051462421325435034,0.2997343354313217,0.7950617283950617,-2.1314691558774417,5.824334100719423,0.244867957171375,inf,-7550000000.0,2960000000.0,7470000000.0,,,130200000000.0,148900000000.0,129200000000.0,,,0
00139719,1,1,019210,와이지-원,91010000000.0,36090000000.0,21620000000.0,53310000000.0,41200000000.0,3140000000.0,54920000000.0,76680000000.0,5030000000.0,8420000000.0,10000000000.0,15290000000.0,2002-08-01,32527911150.0,2150.0,2150.0,0.2375563124931326,0.08700471044610696,0.9012998379052368,1.2939320388349516,-0.04949595418456497,10.359207372611463,0.4242033274647887,6.466781540755467,5060000000.0,3520000000.0,1590000000.0,,,32000000000.0,22200000000.0,14000000000.0,,,0
00139889,1,1,011790,SKC,1996480000000.0,485330000000.0,168960000000.0,394210000000.0,817150000000.0,-121150000000.0,1511150000000.0,864360000000.0,64250000000.0,55100000000.0,0.0,33930000000.0,2002-08-01,286412300000.0,8760.0,8760.0,0.08462894694662608,-0.2496239671975769,0.590139286670925,0.4824206082114667,-3.8997626847729645,-2.3641130829550145,0.3313576519042991,4.457778988326847,2570000000.0,20380000000.0,4990000000.0,,,310100000000.0,324200000000.0,280000000000.0,,,0
00146083,1,1,000230,일동홀딩스,187750000000.0,66979999999.0,80510000000.0,92600000000.0,73300000000.0,8870000000.0,120770000000.0,149220000000.0,17980000000.0,23160000000.0,0.0,24240000000.0,2002-08-01,36923614080.0,9400.0,9400.0,0.42881491344873496,0.1324275903274474,0.5512632738213088,1.2633015006821282,-0.762926400946719,4.162752432919955,0.24744413671089666,2.0535936640711903,5230000000.0,-46130000000.0,1580000000.0,,,58000000000.0,9600000000.0,59200000000.0,,,0
00148276,1,1,030000,제일기획,550410000000.0,202770000000.0,119490000000.0,422760000000.0,339780000000.0,33060000000.0,347640000000.0,357650000000.0,0.0,43550000000.0,6000000000.0,39590000000.0,2002-08-01,524587986000.0,117000.0,117000.0,0.2170927127050744,0.1630418700991271,2.5871084775854416,1.2442168461945966,0.14319809451373902,15.867755172413792,1.4667635565496997,inf,41730000000.0,28930000000.0,9580000000.0,,,206600000000.0,181400000000.0,41100000000.0,,,0
00152039,1,1,001380,SG충방,404590000000.0,120640000000.0,14180000000.0,74460000000.0,89880000000.0,-22530000000.0,283960000000.0,198790000000.0,-22350000000.0,3170000000.0,0.0,7459999999.0,2002-08-01,43524354900.0,3850.0,3850.0,0.03504782619441904,-0.18675397877984085,0.3607788038793103,0.8284379172229641,-4.8133970160233215,-1.9318399866844207,0.2189464002213391,-1.9473984295302007,-32050000000.0,-38070000000.0,-34950000000.0,,,139100000000.0,148500000000.0,214700000000.0,,,1
00152862,1,1,002020,코오롱,2430190000000.0,899700000000.0,293740000000.0,760880000000.0,943340000000.0,36280000000.0,1530490000000.0,2005620000000.0,228660000000.0,120300000000.0,40000000000.0,259940000000.0,2002-08-01,105420478680.0,6560.0,6560.0,0.12087120760105174,0.040324552628654,0.11717292284094698,0.8065808722199843,-7.300384229293088,2.905746380374862,0.05256253860651569,0.4610359427971661,5330000000.0,152210000000.0,23190000000.0,,,807500000000.0,848600000000.0,667900000000.0,,,0
00157991,1,1,004090,한국석유공업,53370000000.0,21040000000.0,15510000000.0,30460000000.0,30689999999.0,1220000000.0,32330000000.0,146460000000.0,-520000000.0,3140000000.0,50000000000.0,5280000000.0,2002-08-01,8321040000.0,13000.0,13000.0,0.2906127037661608,0.057984790874524725,0.3954866920152091,0.9925057022154612,-0.2247315239441224,6.820524590163933,0.056814420319541176,-16.002,1380000000.0,1270000000.0,940000000.0,,,20100000000.0,18700000000.0,16500000000.0,,,0
00158565,1,1,017890,한국알콜,102050000000.0,76720000000.0,11060000000.0,43020000000.0,7630000000.0,2200000000.0,25330000000.0,70220000000.0,4590000000.0,5560000000.0,0.0,6750000000.0,2002-08-01,34100000000.0,28700.0,28700.0,0.1083782459578638,0.028675703858185613,0.44447340980187694,5.63826998689384,0.5187683284457478,15.5,0.485616633437767,7.429193899782135,1420000000.0,8340000000.0,7900000000.0,,,72900000000.0,70400000000.0,60600000000.0,,,0
00162993,1,1,003300,한일홀딩스,903760000000.0,554740000000.0,162610000000.0,239140000000.0,201670000000.0,30080000000.0,349020000000.0,620810000000.0,137740000000.0,101060000000.0,73000000000.0,121090000000.0,2002-08-01,223700327500.0,33100.0,33100.0,0.17992608657165618,0.054223600245159896,0.40325256426434003,1.1857985818416223,-0.4911928436939816,7.4368459940159575,0.3603362180055089,1.6240767206330768,20460000000.0,16100000000.0,6450000000.0,,,535300000000.0,534500000000.0,526000000000.0,,,0
