기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2010-당기순이익,2009-당기순이익,2008-당기순이익,2007-당기순이익,2006-당기순이익,2010-자본총계,2009-자본총계,2008-자본총계,2007-자본총계,2006-자본총계,증자
00101549,1,1,011040,경동제약,185720000000.0,150620000000.0,78120000000.0,99010000000.0,29960000000.0,20290000000.0,35100000000.0,127309999999.0,26080000000.0,29420000000.0,30000000000.0,30050000000.0,2012-08-01,123192000000.0,9340.0,9340.0,0.4206332112858066,0.13470986588766432,0.8178993493559952,3.3047396528704933,0.518783687252419,6.071562345983242,0.967653758549742,4.72361963190184,19980000000.0,13480000000.0,11430000000.0,16330000000.0,18250000000.0,138200000000.0,123700000000.0,115300000000.0,118700000000.0,111400000000.0,0
00102353,1,1,024910,경창산업,380990000000.0,71790000000.0,30310000000.0,129330000000.0,222400000000.0,7040000000.0,309200000000.0,357160000000.0,35130000000.0,8009999999.0,3100000000.0,69990000000.0,2012-08-01,82532000000.0,4700.0,4700.0,0.07955589385548177,0.09806379718623763,1.1496308678088871,0.5815197841726619,-2.1793970823438182,11.723295454545456,0.2310785082316049,2.3493310560774265,10990000000.0,2800000000.0,-5940000000.0,310000000.0,1050000000.0,69200000000.0,53400000000.0,51800000000.0,42200000000.0,42700000000.0,1
00102432,1,1,013580,계룡건설산업,1561230000000.0,513610000000.0,132770000000.0,1138530000000.0,652690000000.0,11850000000.0,1047620000000.0,1742430000000.0,142810000000.0,44750000000.0,10000000000.0,45670000000.0,2012-08-01,84843616500.0,9460.0,9460.0,0.08504192207426196,0.023071980685734312,0.16519074102918554,1.7443656253351514,1.0715007651754214,7.159798860759492,0.04869269726760903,0.594101368951754,14250000000.0,30760000000.0,36870000000.0,48890000000.0,54340000000.0,466300000000.0,454300000000.0,394900000000.0,349700000000.0,311900000000.0,0
00105271,1,1,002380,케이씨씨,7342270000000.0,5025480000000.0,624600000000.0,2438880000000.0,861960000000.0,327040000000.0,2316790000000.0,3370850000000.0,40270000000.0,122770000000.0,800000000000.0,721580000000.0,2012-08-01,2992940000000.0,283500.0,283500.0,0.08506905902398032,0.06507637081433018,0.5955530615980961,2.8294584435472645,0.04079266540592194,9.151602250489237,0.8878888114273847,74.3218276632729,326640000000.0,360850000000.0,187260000000.0,203070000000.0,196040000000.0,5785700000000.0,4573400000000.0,3514400000000.0,4590200000000.0,2632200000000.0,0
00108649,1,1,048770,TPC,53379999999.0,25830000000.0,18760000000.0,33220000000.0,23980000000.0,6770000000.0,27539999999.0,73910000000.0,6720000000.0,8180000000.0,5000000000.0,9950000000.0,2012-08-01,30831000000.0,2385.0,2385.0,0.3514424878297385,0.2620983352690669,1.1936120789779323,1.3853211009174309,0.1842301579903344,4.554062038404727,0.4171424705723177,4.587946428571429,3460000000.0,-1739999999.0,-960000000.0,300000000.0,1210000000.0,19200000000.0,16100000000.0,16800000000.0,17000000000.0,16900000000.0,0
00110583,1,1,025440,대성엘텍,123180000000.0,26380000000.0,4630000000.0,57510000000.0,91030000000.0,-13380000000.0,96790000000.0,254380000000.0,2430000000.0,-7759999999.0,0.0,-1810000000.0,2012-08-01,38228297646.0,844.0,844.0,0.03758727066082156,-0.5072024260803639,1.4491394103866566,0.6317697462375041,-1.0275110956741764,-2.8571223950672646,0.15028028007705008,15.731809730864198,1050000000.0,-10580000000.0,-10960000000.0,1510000000.0,1030000000.0,37800000000.0,25100000000.0,26400000000.0,35200000000.0,32400000000.0,0
00111874,1,1,005710,대원산업,280270000000.0,122050000000.0,36910000000.0,186950000000.0,140070000000.0,10670000000.0,158230000000.0,565200000000.0,9810000000.0,12410000000.0,9000000000.0,37030000000.0,2012-08-01,72432000000.0,5010.0,5010.0,0.13169443750668994,0.08742318721835314,0.5934616960262188,1.3346897979581638,0.3965098299094323,6.7883786316776025,0.12815286624203825,7.38348623853211,12120000000.0,7450000000.0,130000000.0,3779999999.0,5810000000.0,88700000000.0,77200000000.0,71900000000.0,70500000000.0,67300000000.0,1
00115977,1,1,010780,아이에스동서,973620000000.0,396340000000.0,105130000000.0,464530000000.0,334010000000.0,15869999999.0,577280000000.0,468880000000.0,-34030000000.0,33750000000.0,30000000000.0,73050000000.0,2012-08-01,255335310000.0,10300.0,10300.0,0.10797847209383538,0.04004137861179795,0.6442330070141797,1.3907667435106734,-0.44157621599613467,16.089181475493962,0.5445643021668657,-7.503241551572143,18160000000.0,22620000000.0,-8910000000.0,7359999999.0,6500000000.0,323300000000.0,293500000000.0,270800000000.0,152200000000.0,150600000000.0,1
00116824,1,1,000640,동아쏘시오홀딩스,1493240000000.0,862390000000.0,521070000000.0,551790000000.0,409310000000.0,74880000000.0,630850000000.0,1055700000000.0,121500000000.0,113909999999.0,100000000000.0,151310000000.0,2012-08-01,1044463000000.0,93200.0,93200.0,0.348952613109748,0.08682846507960436,1.2111260566565012,1.3480980186166964,-0.07569439989736353,13.94849091880342,0.9893558776167471,8.59640329218107,70410000000.0,63260000000.0,43380000000.0,-3080000000.0,27080000000.0,728900000000.0,580100000000.0,350200000000.0,327900000000.0,317600000000.0,1
00118044,1,1,030720,동원수산,107109999999.0,44600000000.0,13400000000.0,73080000000.0,37190000000.0,5030000000.0,62510000000.0,114140000000.0,3229999999.0,4220000000.0,50000000000.0,8520000000.0,2012-08-01,41970114400.0,13850.0,13850.0,0.1251050322110457,0.11278026905829595,0.9410339551569508,1.9650443667652595,0.251845870594053,8.343959125248507,0.3677073278429998,12.993843471515124,4700000000.0,1540000000.0,490000000.0,-9040000000.0,-6559999999.0,33500000000.0,27900000000.0,26900000000.0,24400000000.0,32100000000.0,0
