기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,2014-자본총계,2013-자본총계,2012-자본총계,2011-자본총계,2010-자본총계,증자
00105271,1,1,002380,케이씨씨,8668411154310.0,5868653487521.0,885765815263.0,2205660000000.0,1374810000000.0,185050000000.0,2799760000000.0,3414390000000.0,95410000000.0,309210000000.0,900000000000.0,435289999999.0,2016-08-01,4175100891500.0,394500.0,394500.0,0.10218317976560104,0.031531934947852516,0.711423991956223,1.6043380539856416,-0.14229596252620286,22.56201508511213,1.2227955481066897,43.75957333088775,288310000000.0,223319999999.0,406590000000.0,291710000000.0,326640000000.0,6082800000000.0,4990100000000.0,4869000000000.0,4942700000000.0,5785700000000.0,0
00108649,1,1,048770,TPC,93579239998.0,33676612850.0,18752485582.0,47580000000.0,49260000000.0,-2970000000.0,59900000000.0,86740000000.0,-1780000000.0,-2690000000.0,2500000000.0,210000000.0,2016-08-01,68370000000.0,5390.0,5390.0,0.20039151399819846,-0.08819176718361686,2.030192297085484,0.9658952496954932,-0.18019599239432504,-23.02020202020202,0.788217661978326,-38.41011235955056,1560000000.0,320000000.0,2550000000.0,6770000000.0,3460000000.0,31700000000.0,29200000000.0,27100000000.0,25200000000.0,19200000000.0,0
00111874,1,1,005710,대원산업,307051762298.0,186289531133.0,42921750796.0,189470000000.0,93810000000.0,6380000000.0,120759999999.0,773530000000.0,13080000000.0,15310000000.0,11400000000.0,23850000000.0,2016-08-01,131701680000.0,7370.0,7370.0,0.13978669418722814,0.03424776454799839,0.7069730606921362,2.0197207120776035,0.5217093662055032,20.642896551724146,0.17026059752045816,10.068935779816512,22640000000.0,22890000000.0,24790000000.0,16400000000.0,12120000000.0,174900000000.0,156400000000.0,134200000000.0,111200000000.0,88700000000.0,0
00114154,1,1,024900,덕양산업,419423210870.0,91259937061.0,19352712819.0,250269999999.0,244560000000.0,2690000000.0,328160000000.0,956710000000.0,29250000000.0,4310000000.0,2000000000.0,16469999999.0,2016-08-01,81249625100.0,2460.0,2460.0,0.04614125379198044,0.029476242112702195,0.8903098962876898,1.0233480536432775,-0.9586505772197096,30.204321598513012,0.08492607488162557,2.7777649606837604,3320000000.0,1320000000.0,4090000000.0,7020000000.0,2470000000.0,60800000000.0,55800000000.0,54700000000.0,68200000000.0,61400000000.0,0
00114808,1,1,086450,동국제약,274800000000.0,200610000000.0,148350000000.0,195180000000.0,58829999999.0,27230000000.0,74180000000.0,259930000000.0,27139999999.0,33610000000.0,30000000000.0,41830000000.0,2016-08-01,587761200000.0,66300.0,66300.0,0.5398471615720524,0.1357360051841882,2.9298698968147145,3.3176950536005045,0.2058659196966387,21.58506059493206,2.261228792367176,21.65663964707652,21560000000.0,16810000000.0,22310000000.0,20220000000.0,16850000000.0,176800000000.0,161900000000.0,147700000000.0,131000000000.0,113200000000.0,0
00116824,1,1,000640,동아쏘시오홀딩스,1223520000000.0,602640000000.0,266800000000.0,373050000000.0,535530000000.0,66610000000.0,620880000000.0,704730000000.0,80940000000.0,64360000000.0,100000000000.0,131850000000.0,2016-08-01,784402542000.0,163000.0,163000.0,0.21805936968745915,0.1105303332005841,1.3016104838709677,0.6965996302728138,-0.3159474717765512,11.776047770605016,1.1130539951470777,9.691160637509267,6370000000.0,-11190000000.0,67750000000.0,60650000000.0,70410000000.0,367200000000.0,340700000000.0,746300000000.0,732400000000.0,728900000000.0,0
00120021,1,1,003550,LG,18123400000000.0,13308244000000.0,1627224000000.0,4155560000000.0,2712630000000.0,943779999999.0,4815160000000.0,9965370000000.0,886290000000.0,1138620000000.0,130000000000.0,1445690000000.0,2016-08-01,10836587826800.0,63600.0,63600.0,0.08978580178112275,0.07091694441422926,0.8142763107439268,1.5319302669365156,-0.060867868238814175,11.482112173188119,1.0874245338406905,12.22690973248034,360610000000.0,355980000000.0,408120000000.0,395500000000.0,421110000000.0,7768900000000.0,7589900000000.0,7408600000000.0,7176100000000.0,6973400000000.0,0
00120571,1,1,005300,롯데칠성음료,4381975016809.0,2362596612796.0,980836301965.0,954670000000.0,837040000000.0,100300000000.0,2019380000000.0,2299160000000.0,275100000000.0,142880000000.0,92000000000.0,252310000000.0,2016-08-01,2000557251000.0,1650000.0,1650000.0,0.2238342980511229,0.04245329035721447,0.8467620922525801,1.1405309184746248,-0.5322067136383092,19.945735304087734,0.8701252853215957,7.2721092366412226,26589999999.0,91350000000.0,87930000000.0,52390000000.0,36630000000.0,2289400000000.0,2420500000000.0,2276200000000.0,2138900000000.0,2140700000000.0,0
00148276,1,1,030000,제일기획,1866859999999.0,800340000000.0,948670000000.0,1463890000000.0,1004320000000.0,81740000000.0,1066520000000.0,2806710000000.0,102390000000.0,127220000000.0,30000000000.0,184060000000.0,2016-08-01,2082246172500.0,18100.0,18100.0,0.5081634402153927,0.10213159407251918,2.6017019922782816,1.4575931973872869,0.19083718594276824,25.474017280401274,0.7418814813429246,20.336421256958687,54510000000.0,52250000000.0,58070000000.0,79290000000.0,104990000000.0,727900000000.0,562100000000.0,618300000000.0,670300000000.0,655600000000.0,0
00162586,1,1,009420,한올바이오파마,117130000000.0,95220000000.0,36900000000.0,92770000000.0,14080000000.0,-7080000000.0,21910000000.0,80020000000.0,-450000000.0,-4279999999.0,0.0,-2350000000.0,2016-08-01,1120561685100.0,22150.0,22150.0,0.3150345769657645,-0.074354127284184,11.768133638941398,6.588778409090909,0.06323614392872659,-158.27142444915253,14.003520183704074,-2490.137078,-12790000000.0,-21350000000.0,-2980000000.0,-14560000000.0,210000000.0,45800000000.0,59800000000.0,78700000000.0,50700000000.0,54000000000.0,1
