기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2002-당기순이익,2001-당기순이익,2000-당기순이익,1999-당기순이익,1998-당기순이익,2002-자본총계,2001-자본총계,2000-자본총계,1999-자본총계,1998-자본총계,증자
00105271,1,1,002380,케이씨씨,3091290000000.0,1775400000000.0,613140000000.0,988040000000.0,848800000000.0,204430000000.0,1315890000000.0,2306410000000.0,294940000000.0,302210000000.0,500000000000.0,439439999999.0,2004-08-02,1136160000000.0,110000.0,110000.0,0.1983443805013441,0.11514588261800154,0.6399459276782696,1.164043355325165,-0.2885597099000141,5.557697011201879,0.4926097268048613,3.852173323387808,154320000000.0,89550000000.0,67740000000.0,75440000000.0,13030000000.0,1220100000000.0,1095000000000.0,1041000000000.0,347400000000.0,267300000000.0,0
00120021,1,1,003550,LG,50205860000000.0,13932420000000.0,14988190000000.0,19892860000000.0,24169280000000.0,1395230000000.0,36273440000000.0,58148719999999.0,5005040000000.0,3550760000000.0,25000000000.0,6417230000000.0,2004-08-02,,,,0.29853467304414266,0.10014268877912093,,0.8230638231672602,,,,,315810000000.0,120720000000.0,324820000000.0,367730000000.0,53600000000.0,3362700000000.0,1728900000000.0,2377900000000.0,2149400000000.0,1478000000000.0,1
00148276,1,1,030000,제일기획,742060000000.0,287730000000.0,158700000000.0,618650000000.0,443770000000.0,46410000000.0,454330000000.0,466210000000.0,63279999999.0,55660000000.0,12000000000.0,63690000000.0,2004-08-02,630425913000.0,147000.0,147000.0,0.21386410802360994,0.1612970493170681,2.191032957981441,1.394078013385312,0.26064918432374146,13.583837815126051,1.3522359301602282,9.962482822534174,40600000000.0,35190000000.0,41730000000.0,28930000000.0,9580000000.0,241400000000.0,200300000000.0,206600000000.0,181400000000.0,41100000000.0,0
00164609,1,1,010620,현대미포조선,1063010000000.0,275300000000.0,176010000000.0,289440000000.0,671400000000.0,39110000000.0,787720000000.0,1265350000000.0,465930000000.0,95360000000.0,0.0,116730000000.0,2004-08-02,332000000000.0,16550.0,16550.0,0.16557699363129227,0.14206320377769704,1.2059571376679985,0.4310991957104557,-1.5008433734939757,8.488877524929686,0.2623779981823211,0.71255338784796,-74460000000.0,-62560000000.0,8390000000.0,43310000000.0,21720000000.0,183100000000.0,259200000000.0,310700000000.0,329000000000.0,237500000000.0,1
00164724,1,1,017800,현대엘리베이터,416120000000.0,283440000000.0,74800000000.0,168240000000.0,114340000000.0,28600000000.0,132680000000.0,382120000000.0,40420000000.0,45220000000.0,74500000000.0,47200000000.0,2004-08-02,197927235750.0,28500.0,28500.0,0.17975583966163608,0.1009031893875247,0.6983038235605419,1.4714010844848695,0.1796619846947971,6.920532718531469,0.5179714114676018,4.896764862691738,-35880000000.0,8059999999.0,10580000000.0,20130000000.0,3510000000.0,117500000000.0,97400000000.0,102200000000.0,217300000000.0,126400000000.0,1
00166272,1,1,013520,화승알앤에이,475210000000.0,158610000000.0,77610000000.0,220769999999.0,260069999999.0,11550000000.0,316600000000.0,489660000000.0,-6820000000.0,17240000000.0,3500000000.0,33350000000.0,2004-08-02,29100000000.0,4850.0,4850.0,0.16331727025946424,0.07282012483449972,0.18346888594666164,0.8488868381583762,-3.2931271478006874,2.51948051948052,0.05942899154515378,-4.266862170087976,9920000000.0,1150000000.0,11480000000.0,10930000000.0,5960000000.0,120900000000.0,112200000000.0,113800000000.0,112900000000.0,111400000000.0,0
00173032,1,1,025900,동화기업,466930000000.0,283520000000.0,47070000000.0,95270000000.0,109809999999.0,6330000000.0,183410000000.0,263910000000.0,28550000000.0,12350000000.0,0.0,35040000000.0,2004-08-02,51496023040.0,2590.0,2590.0,0.10080740153770372,0.022326467268623026,0.18163100677200905,0.8675894727335178,-1.71158848386285,8.135232707740919,0.19512721397446087,1.8037135915936962,7259999999.0,10910000000.0,6680000000.0,3410000000.0,3400000000.0,224900000000.0,217700000000.0,207200000000.0,200500000000.0,195100000000.0,0
00239514,1,1,054090,삼진엘앤디,77090000000.0,30780000000.0,14310000000.0,43340000000.0,40420000000.0,6130000000.0,46320000000.0,98900000000.0,9910000000.0,7809999999.0,3800000000.0,12280000000.0,2004-08-02,38112525000.0,5450.0,5450.0,0.18562718899987027,0.1991552956465237,1.2382236842105263,1.0722414646214746,-0.07818951906230301,6.217377650897228,0.3853642568250759,3.845865287588295,3040000000.0,1450000000.0,610000000.0,509999999.0,,23800000000.0,20800000000.0,13900000000.0,4300000000.0,,0
00247975,1,1,036830,솔브레인홀딩스,79270000000.0,68930000000.0,14360000000.0,48260000000.0,5670000000.0,8420000000.0,10340000000.0,63070000000.0,0.0,9130000000.0,6200000000.0,9720000000.0,2004-08-02,55135264800.0,4040.0,4040.0,0.1811530213195408,0.12215290874800525,0.7998732743362832,8.511463844797179,0.6877630884253956,6.548131211401424,0.8741916093229745,inf,8860000000.0,7709999999.0,6459999999.0,3740000000.0,3750000000.0,58800000000.0,45800000000.0,37700000000.0,19900000000.0,11300000000.0,0
00108649,1,0,048770,TPC,25100000000.0,16200000000.0,6640000000.0,16800000000.0,7400000000.0,1230000000.0,8900000000.0,24300000000.0,-1290000000.0,2039999999.0,5000000000.0,2210000000.0,2004-08-02,4880500000.0,1135.0,1135.0,0.2645418326693227,0.07592592592592592,0.30126543209876544,2.27027027027027,1.6186866099784858,3.967886178861789,0.2008436213991769,-3.783333333333333,860000000.0,1090000000.0,1750000000.0,1100000000.0,440000000.0,15000000000.0,14700000000.0,9700000000.0,9200000000.0,8400000000.0,0
