기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2009-당기순이익,2008-당기순이익,2007-당기순이익,2006-당기순이익,2005-당기순이익,2009-자본총계,2008-자본총계,2007-자본총계,2006-자본총계,2005-자본총계,증자
00105271,1,1,002380,케이씨씨,9643310000000.0,6249710000000.0,931770000000.0,2853450000000.0,1277480000000.0,373990000000.0,3393600000000.0,4303710000000.0,319980000000.0,402550000000.0,800000000000.0,793210000000.0,2011-08-01,3739860000000.0,350500.0,350500.0,0.09662346227591978,0.05984117663059566,0.5984053660089829,2.2336553214140342,-0.14443054018064844,9.999893045268587,0.8689851314331124,11.687792987061693,360850000000.0,187260000000.0,203070000000.0,196040000000.0,178060000000.0,4573400000000.0,3514400000000.0,4590200000000.0,2632200000000.0,2163300000000.0,0
00111874,1,1,005710,대원산업,213990000000.0,88740000000.0,28080000000.0,160720000000.0,110420000000.0,12120000000.0,125240000000.0,351520000000.0,10520000000.0,12780000000.0,6000000000.0,32139999999.0,2011-08-01,64728000000.0,4500.0,4500.0,0.13122108509743444,0.13657876943881,0.7294117647058823,1.4555334178590835,0.5481399085403534,5.340594059405942,0.18413746017296312,6.152851711026616,7450000000.0,130000000.0,3779999999.0,5810000000.0,2390000000.0,77200000000.0,71900000000.0,70500000000.0,67300000000.0,62600000000.0,0
00164609,1,1,010620,현대미포조선,9558920000000.0,4419280000000.0,912200000000.0,4671300000000.0,4327430000000.0,493750000000.0,5139640000000.0,4118360000000.0,799630000000.0,626050000000.0,175300000000.0,711540000000.0,2011-08-01,3350000000000.0,167500.0,167500.0,0.09542919074539802,0.11172634456291522,0.7580420339964881,1.0794628682613006,-0.13980298507462688,6.7848101265822764,0.8134305888751834,4.18943761489689,378650000000.0,519139999999.0,529200000000.0,236260000000.0,128280000000.0,2616100000000.0,2260600000000.0,3082000000000.0,1220300000000.0,706800000000.0,0
00164724,1,1,017800,현대엘리베이터,1478140000000.0,626360000000.0,113909999999.0,539000000000.0,438830000000.0,139810000000.0,851779999999.0,865940000000.0,60779999999.0,48240000000.0,39800000000.0,200710000000.0,2011-08-01,1325465355500.0,120000.0,120000.0,0.07706306574411084,0.2232102943993869,2.1161398484896865,1.2282660711437228,-0.2359774992994904,9.48047604248623,1.5306665074947456,21.807590581141948,-209110000000.0,29780000000.0,149820000000.0,44500000000.0,83950000000.0,440300000000.0,612600000000.0,548400000000.0,413400000000.0,330900000000.0,1
00165413,1,1,011170,롯데케미칼,8612870000000.0,4986600000000.0,1648230000000.0,3531610000000.0,2166790000000.0,894820000000.0,3626269999999.0,12403160000000.0,1088240000000.0,1263220000000.0,175000000000.0,1593190000000.0,2011-08-01,14591880000000.0,439000.0,439000.0,0.19136826632701992,0.17944491236513854,2.9262182649500663,1.6298810683084193,-0.0064871695764356615,16.307056167720884,1.1764647073810222,13.408696611041682,796700000000.0,-45280000000.0,463360000000.0,381590000000.0,511430000000.0,3725200000000.0,2803800000000.0,2876600000000.0,2439600000000.0,2090200000000.0,0
00173032,1,1,025900,동화기업,623170000000.0,267260000000.0,78270000000.0,199640000000.0,272290000000.0,3850000000.0,355900000000.0,430100000000.0,5970000000.0,16250000000.0,0.0,39880000000.0,2011-08-01,142821001400.0,7060.0,7060.0,0.12559975608581928,0.014405447878470402,0.5343897380827658,0.7331888795034706,-1.0940967957671806,37.096364,0.33206463938618924,23.92311581239531,6740000000.0,1250000000.0,260000000.0,3010000000.0,6730000000.0,236300000000.0,236000000000.0,252500000000.0,234600000000.0,229400000000.0,0
00174004,1,1,002920,유성기업,280090000000.0,185060000000.0,20360000000.0,135640000000.0,64229999999.0,15730000000.0,95030000000.0,252250000000.0,23640000000.0,7709999999.0,10000000000.0,31360000000.0,2011-08-01,85756487500.0,3315.0,3315.0,0.07269092077546503,0.08499945963471306,0.4633982897438669,2.111785769922338,0.4735501789296116,5.451779243483789,0.33996625371655104,3.627600994077834,-1620000000.0,5930000000.0,13350000000.0,12869999999.0,10390000000.0,151800000000.0,156100000000.0,150900000000.0,139100000000.0,129800000000.0,0
00219574,1,1,044820,코스맥스비티아이,134759999999.0,48910000000.0,29530000000.0,64990000000.0,76130000000.0,8880000000.0,85860000000.0,192450000000.0,3510000000.0,11680000000.0,20000000000.0,17440000000.0,2011-08-01,207288888500.0,15600.0,15600.0,0.21913030573032896,0.1815579636066244,4.238169873236557,0.8536713516353606,-0.10068074632953614,23.343343299549552,1.0771051623798389,59.05666339031339,6630000000.0,2039999999.0,1010000000.0,2180000000.0,4880000000.0,43600000000.0,27800000000.0,25600000000.0,25600000000.0,21900000000.0,0
00239514,1,1,054090,삼진엘앤디,148400000000.0,39740000000.0,32039999999.0,75530000000.0,95160000000.0,1610000000.0,108659999999.0,207090000000.0,12470000000.0,5660000000.0,0.0,24980000000.0,2011-08-01,30152083500.0,3135.0,3135.0,0.21590296495283007,0.040513336688475086,0.7587338575742325,0.7937158469945356,-1.0987632081544216,18.728002173913048,0.1455989352455454,2.417969807538092,-8259999999.0,2030000000.0,-2089999999.0,-3440000000.0,7559999999.0,37400000000.0,50000000000.0,47200000000.0,50700000000.0,55500000000.0,0
00301422,1,1,066590,우수AMS,127580000000.0,22970000000.0,13490000000.0,61370000000.0,98430000000.0,2280000000.0,104609999999.0,160920000000.0,11110000000.0,2480000000.0,0.0,11000000000.0,2011-08-01,20392263300.0,1290.0,1290.0,0.10573757642263676,0.09925990422289943,0.8877781149325207,0.6234887737478411,-2.1204120093427785,8.943975131578947,0.1267229884414616,1.8354872457245728,-1040000000.0,-1480000000.0,1989999999.0,2100000000.0,570000000.0,23300000000.0,24500000000.0,17600000000.0,12100000000.0,10000000000.0,0
