기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2011-당기순이익,2010-당기순이익,2009-당기순이익,2008-당기순이익,2007-당기순이익,2011-자본총계,2010-자본총계,2009-자본총계,2008-자본총계,2007-자본총계,증자
00111874,1,1,005710,대원산업,307260000000.0,143060000000.0,57010000000.0,202830000000.0,145120000000.0,24880000000.0,164190000000.0,646710000000.0,58660000000.0,29210000000.0,5400000000.0,52720000000.0,2013-08-01,129499200000.0,7800.0,7800.0,0.18554318817939205,0.17391304347826084,0.905209003215434,1.3976708930540245,0.2983802216538789,5.204951768488746,0.20024307649487405,2.2076235935901813,16400000000.0,12120000000.0,7450000000.0,130000000.0,3779999999.0,111200000000.0,88700000000.0,77200000000.0,71900000000.0,70500000000.0,0
00173032,1,1,025900,동화기업,1351080000000.0,649890000000.0,77440000000.0,161570000000.0,335150000000.0,819999999.0,701190000000.0,402130000000.0,14030000000.0,9470000000.0,0.0,44170000000.0,2013-08-01,156901945200.0,7640.0,7640.0,0.057317109275542524,0.0012617519872593825,0.2414284651248673,0.4820826495598986,-3.439218037177018,191.34383584310226,0.39017716957202897,11.183317548111189,-6640000000.0,3560000000.0,6740000000.0,1250000000.0,260000000.0,225200000000.0,234600000000.0,236300000000.0,236000000000.0,252500000000.0,0
00329677,1,1,052650,이디디컴퍼니,7830000000.0,1180000000.0,-2450000000.0,1120000000.0,6620000000.0,-25390000000.0,6650000000.0,5060000000.0,-2500000000.0,-6909999999.0,0.0,-25140000000.0,2013-08-01,,,,-0.3128991060025543,-21.51694915254237,,0.1691842900302115,,,,,1050000000.0,-3860000000.0,15669999999.0,-3090000000.0,-5200000000.0,26600000000.0,25500000000.0,29400000000.0,13700000000.0,16800000000.0,1
00359623,1,1,072470,우리산업홀딩스,172840000000.0,57650000000.0,36500000000.0,121330000000.0,98710000000.0,6770000000.0,115190000000.0,243069999999.0,940000000.0,13369999999.0,3000000000.0,17380000000.0,2013-08-01,147794298300.0,10600.0,10600.0,0.2111779680629484,0.11743278404163053,2.563647845620121,1.2291561138689089,0.04154422782627738,21.830767843426887,0.6080318356876949,157.22797691489362,3470000000.0,2820000000.0,760000000.0,-7170000000.0,1789999999.0,43500000000.0,38600000000.0,31500000000.0,30600000000.0,29400000000.0,0
00483735,1,1,076610,해성옵틱스,81600000000.0,12640000000.0,13840000000.0,34139999999.0,38920000000.0,4940000000.0,68950000000.0,63279999999.0,14700000000.0,9400000000.0,0.0,14390000000.0,2013-08-01,,,,0.1696078431372549,0.39082278481012656,,0.877183967086331,,,,,2000000000.0,1100000000.0,-1140000000.0,-550000000.0,-459999999.0,15200000000.0,5300000000.0,3700000000.0,4800000000.0,3500000000.0,0
00781202,1,1,900100,뉴프라이드,45060000000.0,12410000000.0,11500000000.0,31000000000.0,28339999999.0,-610000000.0,32650000000.0,93050000000.0,3260000000.0,50000000.0,0.0,1430000000.0,2013-08-01,22470000000.0,1580.0,1580.0,0.2552152685308477,-0.04915390813859792,1.810636583400484,1.0938602682107923,-0.07343124165554073,-36.8360655737705,0.2414830736163353,6.892638036809816,-630000000.0,-1510000000.0,4770000000.0,1870000000.0,,20800000000.0,21000000000.0,11300000000.0,6300000000.0,,0
00114808,1,0,086450,동국제약,192100000000.0,147700000000.0,106320000000.0,135000000000.0,35200000000.0,22310000000.0,44400000000.0,180300000000.0,14200000000.0,27060000000.0,38000000000.0,33650000000.0,2013-08-01,364572000000.0,40950.0,40950.0,0.5534617386777719,0.15104942450914016,2.4683276912660803,3.835227272727273,0.24851058227181466,16.34119229045271,2.022029950083194,25.674084507042252,20220000000.0,16850000000.0,12890000000.0,10180000000.0,10280000000.0,131000000000.0,113200000000.0,99700000000.0,86000000000.0,81500000000.0,0
00129013,1,0,011150,CJ씨푸드,84000000000.0,39000000000.0,30420000000.0,34900000000.0,40200000000.0,5700000000.0,45000000000.0,166840000000.0,7270000000.0,6409999999.0,0.0,9450000000.0,2013-08-01,94857240720.0,2615.0,2615.0,0.3621428571428572,0.14615384615384616,2.432236941538461,0.8681592039800995,-0.10647579376479252,16.641621178947368,0.5685521500839127,13.047763510316367,4070000000.0,5150000000.0,4670000000.0,530000000.0,100000000.0,33400000000.0,30300000000.0,25100000000.0,21300000000.0,10500000000.0,0
00396925,1,0,058970,엠로,15500000000.0,4000000000.0,9600000000.0,10600000000.0,9100000000.0,700000000.0,11500000000.0,30930000000.0,2260000000.0,880000000.0,0.0,2790000000.0,2013-08-01,,,,0.6193548387096774,0.175,,1.164835164835165,,,,,,,,,,,,,,,0
00609485,1,0,103130,웅진에너지,422000000000.0,143900000000.0,-85050000000.0,134100000000.0,157100000000.0,-199530000000.0,278200000000.0,142980000000.0,12330000000.0,-106750000000.0,0.0,-159360000000.0,2013-08-01,176163826080.0,2545.0,2545.0,-0.2015402843601896,-1.3865879082696315,1.224210049200834,0.8535964353914705,-0.8179885916792072,-0.8828939311381747,1.2320871875786823,14.287414929440393,21570000000.0,47450000000.0,41030000000.0,33770000000.0,-1910000000.0,320300000000.0,298800000000.0,96900000000.0,52900000000.0,6300000000.0,0
